diasuransikan	di @@asuransi @@kan
silakan	silakan
olokan	olok @@an
ilmu	ilmu
kakinya	kaki @@nya
bilik	bilik
memperingati	men @@ingat @@i
ditugaskan	di @@tugas @@kan
tongkat	tongkat
membakarmu	men @@bakar @@mu
menebusnya	men @@tebus @@nya
dokumenter	dokumenter
memberkati	men @@berkat @@i
nonpertanian	non @@per @@tani @@an
antarresponden	antar @@responden
mengadukan	men @@adu @@kan
berdasar	ber @@dasar
bata	bata
terdidik	ter @@didik
juang	juang
almamaternya	almamater @@nya
adu	adu
perut	perut
kantor	kantor
pelecehan	pen @@leceh @@an
tarifnya	tarif @@nya
seikhlasnya	se @@ikhlas @@nya
perlindungan	per @@lindung @@an
penciptaan	pen @@cipta @@an
triwulanan	triwulan @@an
persekutuan	per @@sekutu @@an
diminta	di @@minta
mewawancarai	men @@wawancara @@i
sejahtera	sejahtera
nuraninya	nurani @@nya
citra	citra
berambut	ber @@rambut
menyesatkan	men @@sesat @@kan
sejelas	se @@jelas
sejarah	sejarah
bersengketa	ber @@sengketa
kubur	kubur
menanggulanginya	men @@tanggulang @@i @@nya
tiang	tiang
mengawasi	men @@awas @@i
menonjolkan	men @@tonjol @@kan
prosedural	prosedural
parfum	parfum
januari	januari
berhembus	ber @@hembus
pengepungan	pen @@kepung @@an
melimpahkan	men @@limpah @@kan
pesawat	pesawat
keinginanmu	ke @@ingin @@an @@mu
berjabat	ber @@jabat
menanggungnya	men @@tanggung @@nya
dilatihnya	di @@latih @@nya
menghargainya	men @@harga @@i @@nya
paman	paman
inovasi	inovasi
aib	aib
bertatap	ber @@tatap
berserah	ber @@serah
dikatakannya	di @@kata @@kan @@nya
senjata	senjata
ketinggalan	ke @@tinggal @@an
isteri	isteri
siswanya	siswa @@nya
menggerebek	men @@gerebek
dipinjami	di @@pinjam @@i
prospek	prospek
repotnya	repot @@nya
menuding	men @@tuding
penyebarannya	pen @@sebar @@an @@nya
terjemahan	terjemah @@an
ludah	ludah
dilihatnya	di @@lihat @@nya
max	max
tiket	tiket
digigit	di @@gigit
jadwalku	jadwal @@ku
mengobarkan	men @@kobar @@kan
menggagas	men @@gagas
akal	akal
penghambat	pen @@hambat
asas	asas
pegolf	pen @@golf
didominasi	di @@dominasi
ironis	ironis
mengimbangi	men @@imbang @@i
berenang	ber @@renang
setuju	setuju
didampingi	di @@damping @@i
termiskin	ter @@miskin
buruannya	buru @@an @@nya
sebangsaku	se @@bangsa @@aku
tenggelam	tenggelam
membawahi	men @@bawah @@i
taman	taman
istana	istana
berada	ber @@ada
nasibnya	nasib @@nya
desa	desa
berpaling	ber @@paling
ketahui	ketahui
sederhana	sederhana
beranggotakan	ber @@anggota @@kan
menebus	men @@tebus
pergulatan	per @@gulat @@an
berkoordinasi	ber @@koordinasi
sabet	sabet
keterampilannya	keterampilan @@nya
relasi	relasi
anggarannya	anggar @@an @@nya
pemboman	pen @@bom @@an
dangkal	dangkal
antik	antik
nyeri	nyeri
katanya	kata @@nya
mengambilkan	men @@ambil @@kan
kehendaki	kehendak @@i
penambahan	pen @@tambah @@an
pacarku	pacar @@ku
gilirannya	gilir @@an @@nya
tambak	tambak
menguras	men @@kuras
gelisah	gelisah
belakangnya	belakang @@nya
sepeda	sepeda
makanan	makan @@an
keharusan	ke @@harus @@an
balistik	balistik
bergiliran	ber @@gilir @@an
semacamnya	se @@macam @@nya
jurnalisme	jurnalisme
gelar	gelar
warung	warung
memberikan	men @@beri @@kan
karirnya	karir @@nya
naskah	naskah
menduga	men @@duga
pelindungnya	pen @@lindung @@nya
mencabutnya	men @@cabut @@nya
membusukkan	men @@busuk @@kan
pengelolanya	pen @@kelola @@nya
sulit	sulit
menggarisbawahi	men @@garisbawah @@i
dilatih	di @@latih
latarbelakang	latarbelakang
memproduksi	men @@produksi
dolar	dolar
menghalangi	men @@halang @@i
diraih	di @@raih
pujian	puji @@an
petunjuknya	petunjuk @@nya
lilin	lilin
umat	umat
filosofi	filosofi
batinnya	batin @@nya
kemukakan	kemuka @@kan
kriminal	kriminal
segmen	segmen
keberadaan	keberadaan
menghiraukan	men @@hirau @@kan
penyerahan	pen @@serah @@an
terbelakang	ter @@belakang
signifikan	signifikan
demokratis	demokratis
usahakan	usaha @@kan
perhitungannya	per @@hitung @@an @@nya
usulan	usul @@an
kompetitif	kompetitif
kemunculannya	ke @@muncul @@an @@nya
dikontrak	di @@kontrak
yupiter	yupiter
dibuang	di @@buang
terdesentralisasi	ter @@desentralisasi
diperburuk	di @@per @@buruk
pengikutnya	pen @@ikut @@nya
pencerahan	pen @@cerah @@an
kontraktornya	kontraktor @@nya
ayatnya	ayat @@nya
musiman	musim @@an
pengantarnya	pen @@antar @@nya
sholat	sholat
terlembagakan	ter @@lembaga @@kan
balap	balap
kesehariannya	keseharian @@nya
cokelat	cokelat
gelandang	gelandang
dihadapinya	di @@hadap @@i @@nya
ditaburkan	di @@tabur @@kan
menuduhnya	men @@tuduh @@nya
pelikan	pelik @@an
porsi	porsi
piringan	piring @@an
mamalia	mamalia
kota	kota
terjepit	ter @@jepit
menyekolahkan	men @@sekolah @@kan
dikepalai	di @@kepala @@i
isolasi	isolasi
membimbing	men @@bimbing
berdagang	ber @@dagang
universitas	universitas
mendapati	men @@dapat @@i
bertepuk	ber @@tepuk
perusahaannya	per @@usaha @@an @@nya
golongan	golong @@an
mulus	mulus
disepakati	di @@sepakat @@i
merawatnya	men @@rawat @@nya
penerbangannya	pen @@terbang @@an @@nya
turun	turun
memasarkannya	men @@pasar @@kan @@nya
dijejali	di @@jejal @@i
besarannya	besar @@an @@nya
diproses	di @@proses
dirampok	di @@rampok
antrian	antri @@an
dicegat	di @@cegat
dijemput	di @@jemput
berduka	ber @@duka
dimapankan	di @@mapan @@kan
kentang	kentang
ganti	ganti
terdapat	ter @@dapat
meraih	men @@raih
diikutkan	di @@ikut @@kan
diterjang	di @@terjang
pendamping	pen @@damping
putaran	putar @@an
diwarisi	di @@waris @@i
antarrumah	antar @@rumah
janda	janda
maksudnya	maksud @@nya
kaidah	kaidah
gemar	gemar
pencarian	pen @@cari @@an
pergumulannya	per @@gumul @@an @@nya
cincin	cincin
pengadilan	pen @@adil @@an
serumit	se @@rumit
jatuh	jatuh
beresiko	ber @@resiko
teriak	teriak
penyalahgunaan	pen @@salahguna @@an
berpelukan	ber @@peluk @@an
menghindarkan	men @@hindar @@kan
mengadili	men @@adil @@i
semaksimal	se @@maksimal
relawan	rela @@wan
didambakannya	di @@damba @@kan @@nya
bertransaksi	ber @@transaksi
terkepung	ter @@kepung
rubuh	rubuh
mencurangi	men @@curang @@i
diingat	di @@ingat
kalkun	kalkun
menghadapinya	men @@hadap @@i @@nya
diawali	di @@awal @@i
diserang	di @@serang
dewan	dewan
liat	liat
menimpanya	men @@timpa @@nya
duduk	duduk
ketidaksetujuan	ke @@tidak @@setuju @@an
satker	satker
hartanya	harta @@nya
terucap	ter @@ucap
tempuran	tempur @@an
menyetir	men @@setir
lambatnya	lambat @@nya
ketidaksesuaian	ke @@tidak @@sesuai @@an
eternit	eternit
diluruskan	di @@lurus @@kan
ngeri	ngeri
mengoyakkan	men @@koyak @@kan
jiwamu	jiwa @@mu
miskin	miskin
berarti	ber @@arti
mengecilkan	men @@kecil @@kan
bi	bi
identik	identik
dinding	dinding
ditangani	di @@tangan @@i
ceritakan	cerita @@kan
terjadinya	ter @@jadi @@nya
pakan	pakan
objek	objek
menyalami	men @@salam @@i
menjunjung	men @@junjung
pemangkasan	pen @@pangkas @@an
memikul	men @@pikul
gembalakan	gembala @@kan
tentaranya	tentara @@nya
dimainkan	di @@main @@kan
tangerang	tangerang
serang	serang
penggaris	pen @@garis
digandakan	di @@ganda @@kan
jantungnya	jantung @@nya
ditambahkannya	di @@tambah @@kan @@nya
perspektif	perspektif
mekanik	mekanik
adakan	ada @@kan
matematika	matematika
berliku	ber @@liku
1990an	1990 @@an
susun	susun
iklannya	iklan @@nya
nyatakan	nyata @@kan
dicurahkan	di @@curah @@kan
melandasi	men @@landas @@i
mengelola	men @@kelola
nonaset	non @@aset
visi	visi
iklim	iklim
disamai	di @@sama @@i
menyasar	men @@sasar
antarstatus	antar @@status
juri	juri
pengantin	pengantin
rencana	rencana
perluasan	per @@luas @@an
dipanggil	di @@panggil
dicurahkannya	di @@curah @@kan @@nya
bahas	bahas
deskripsi	deskripsi
tindihnya	tindih @@nya
jenderal	jenderal
disesuaikan	di @@sesuai @@kan
dikoordinir	di @@koordinir
mendesentralisasikan	men @@desentralisasi @@kan
damai	damai
memulihkan	men @@pulih @@kan
status	status
komisi	komisi
perdagangannya	per @@dagang @@an @@nya
landas	landas
menggosokkan	men @@gosok @@kan
mendokumentasikan	men @@dokumentasi @@kan
dihormati	di @@hormat @@i
binaan	bina @@an
kabarkan	kabar @@kan
padang	padang
tampung	tampung
ditaruhnya	di @@taruh @@nya
memuaskan	men @@puas @@kan
malam	malam
yunus	yunus
dosa	dosa
budaya	budaya
menggemukkannya	men @@gemuk @@kan @@nya
tergantung	ter @@gantung
anemia	anemia
rusak	rusak
muncul	muncul
melodi	melodi
pemungutan	pen @@pungut @@an
mengucap	men @@ucap
berlumur	ber @@lumur
ayat	ayat
anekdot	anekdot
analisisnya	analisis @@nya
menjiwai	men @@jiwa @@i
mengulas	men @@ulas
pelabuhannya	pen @@labuh @@an @@nya
pikul	pikul
bersamanya	ber @@sama @@nya
pinggir	pinggir
pemilihannya	pen @@pilih @@an @@nya
ladang	ladang
perkantoran	per @@kantor @@an
atap	atap
berlaga	ber @@laga
evaluasi	evaluasi
menuntutnya	men @@tuntut @@nya
ketidakpedulian	ke @@tidak @@peduli @@an
ban	ban
titipan	titip @@an
mempergunakan	men @@guna @@kan
meksiko	meksiko
ambang	ambang
mencadangkan	men @@cadang @@kan
beririgasi	ber @@irigasi
pelunasan	pen @@lunas @@an
evakuasi	evakuasi
mungilnya	mungil @@nya
longsor	longsor
institusinya	institusi @@nya
diproduksi	di @@produksi
mengklarifikasi	men @@klarifikasi
pengguna	pen @@guna
sertifikatnya	sertifikat @@nya
cemas	cemas
bergelut	ber @@gelut
sifat	sifat
dadanya	dada @@nya
baiknya	baik @@nya
lingkungannya	lingkung @@an @@nya
serakah	serakah
tanda	tanda
antarpengadilan	antar @@pen @@adil @@an
derita	derita
dipegang	di @@pegang
individu	individu
penyiar	pen @@siar
athena	athena
diteruskan	di @@terus @@kan
bantalan	bantal @@an
pengembalian	pen @@kembali @@an
membasahi	men @@basah @@i
berkabung	berkabung
toleransi	toleransi
diadopsi	di @@adopsi
berwujud	ber @@wujud
memukuli	men @@pukul @@i
kambing	kambing
pengangkut	pen @@angkut
menggantungkan	men @@gantung @@kan
pemberdayaan	pemberdayaan
didasari	di @@dasar @@i
prosedurnya	prosedur @@nya
egois	egois
dipatuhi	di @@patuh @@i
aneh	aneh
dipadukan	di @@padu @@kan
menambahkan	men @@tambah @@kan
dipulau	di @@pulau
penjamin	pen @@jamin
nikel	nikel
terwujud	ter @@wujud
diasah	di @@asah
mengestimasi	men @@estimasi
menyebarkan	men @@sebar @@kan
sedunia	se @@dunia
bergunung	ber @@gunung
kirinya	kiri @@nya
menunda	men @@tunda
menggeluti	men @@gelut @@i
terbang	terbang
saus	saus
kotamadya	kotamadya
kutinggalkan	ku @@tinggal @@kan
merambah	men @@rambah
kalkulasi	kalkulasi
bergeser	ber @@geser
mutlak	mutlak
lini	lini
melanggar	men @@langgar
waktunya	waktu @@nya
penyebabnya	pen @@sebab @@nya
dijaga	di @@jaga
meninjau	men @@tinjau
disangkal	di @@sangkal
diawasi	di @@awas @@i
diujicobakan	di @@ujicoba @@kan
uu	uu
mencipratkan	men @@ciprat @@kan
direkrut	di @@rekrut
fokusnya	fokus @@nya
mulia	mulia
jiwa	jiwa
riil	riil
rekreasi	rekreasi
minggunya	minggu @@nya
terakhirnya	ter @@akhir @@nya
nyanyian	nyanyi @@an
enaknya	enak @@nya
menggunting	men @@gunting
melecehkan	men @@leceh @@kan
mengkonsolidasikan	men @@konsolidasi @@kan
membangkitkanku	men @@bangkit @@kan @@ku
perjuangannya	per @@juang @@an @@nya
merakit	men @@rakit
usianya	usia @@nya
bergaul	ber @@gaul
menyerahkan	men @@serah @@kan
ternak	ternak
pemanfaatan	pen @@manfaat @@an
perimbangan	per @@imbang @@an
pembicara	pen @@bicara
alamiah	alamiah
pertukangan	per @@tukang @@an
bulunya	bulu @@nya
bersukacita	ber @@sukacita
menuntunnya	men @@tuntun @@nya
memverifikasi	men @@verifikasi
ajakan	ajak @@an
roti	roti
dicoba	di @@coba
musiknya	musik @@nya
mengharapkan	men @@harap @@kan
berkeluarga	ber @@keluarga
dijabarkan	di @@jabar @@kan
renang	renang
mengherankan	men @@heran @@kan
kancing	kancing
penggenapannya	pen @@genap @@an @@nya
berpakaian	ber @@pakai @@an
anehnya	aneh @@nya
literatur	literatur
allahnya	allah @@nya
kuhadapi	ku @@hadap @@i
hancur	hancur
melaluinya	men @@lalu @@i @@nya
dewa	dewa
pulangnya	pulang @@nya
akses	akses
sungai	sungai
koran	koran
ajuan	aju @@an
angkanya	angka @@nya
konversi	konversi
pembebanan	pen @@beban @@an
menumbuhkan	men @@tumbuh @@kan
peletakan	pen @@letak @@an
menyusut	men @@susut
bermoral	ber @@moral
kupas	kupas
mengungkapkan	men @@ungkap @@kan
hibur	hibur
penggemukan	pen @@gemuk @@an
bernaung	ber @@naung
dilema	dilema
forensik	forensik
nikah	nikah
dikonfirmasikan	di @@konfirmasi @@kan
antarkabupaten	antar @@kabupaten
mengelompok	men @@kelompok
kirim	kirim
likuiditas	likuiditas
berputus	ber @@putus
penanam	pen @@tanam
berteman	ber @@teman
konsekuensi	konsekuensi
serok	se @@rok
dipromosikan	di @@promosi @@kan
putra	putra
berotak	ber @@otak
masjid	masjid
terdata	ter @@data
ketidaknyamanan	ke @@tidak @@nyaman @@an
terancam	ter @@ancam
mimpi	mimpi
independensinya	independensi @@nya
ditolak	di @@tolak
mengkhianati	men @@khianat @@i
dimodifikasi	di @@modifikasi
teh	teh
diaudit	di @@audit
dipertimbangkan	di @@per @@timbang @@kan
ajalnya	ajal @@nya
diwawancara	di @@wawancara
bagus	bagus
penegak	pen @@tegak
membayang	men @@bayang
dimuat	di @@muat
intelektual	intelektual
umpan	umpan
direstrukturisasi	di @@restrukturisasi
menganggapnya	men @@anggap @@nya
dihadapi	di @@hadap @@i
izin	izin
mengijonkan	men @@ijon @@kan
sebulir	se @@bulir
disisihkan	di @@sisih @@kan
terpaksa	ter @@paksa
merepresentasi	men @@representasi
capnya	cap @@nya
cipta	cipta
diulangi	di @@ulang @@i
terdesak	ter @@desak
panduan	pandu @@an
menghasilkan	men @@hasil @@kan
kepercayaannya	ke @@percaya @@an @@nya
mewawancarainya	men @@wawancara @@i @@nya
alur	alur
memperlihatkan	men @@lihat @@kan
pelayananku	pen @@layan @@an @@ku
suram	suram
persentasenya	persentase @@nya
syiah	syiah
merogoh	men @@rogoh
juruselamat	juruselamat
beranggaran	ber @@anggar @@an
jajaran	jajar @@an
ayub	ayub
dilempar	di @@lempar
depkes	depkes
realitas	realitas
peroleh	peroleh
disesatkan	di @@sesat @@kan
pungli	pungli
perpajakan	per @@pajak @@an
norma	norma
disimpan	di @@simpan
studinya	studi @@nya
penanggungjawab	pen @@tanggungjawab
cita	cita
aduk	aduk
salju	salju
petani	petani
lobi	lobi
kunjung	kunjung
dikontraknya	di @@kontrak @@nya
kembali	kembali
kotoran	kotor @@an
mengetuk	men @@ketuk
praktiknya	praktik @@nya
berasaskan	ber @@asas @@kan
kuterima	ku @@terima
tersebar	ter @@sebar
nama	nama
menonjol	men @@tonjol
penuaan	pen @@tua @@an
terluas	ter @@luas
mengorganisasi	men @@organisasi
terurai	ter @@urai
pembangkit	pen @@bangkit
berupa	ber @@rupa
memburu	men @@buru
diinstruksikan	di @@instruksi @@kan
tamak	tamak
kafir	kafir
nafsu	nafsu
berangsur	ber @@angsur
prinsip	prinsip
panci	panci
didirikannya	di @@diri @@kan @@nya
pencuri	pen @@curi
pasar	pasar
pers	pers
yakin	yakin
reguler	reguler
beliau	beliau
dimerdekakan	di @@merdeka @@kan
depresiasi	depresiasi
penunggak	pen @@tunggak
dituju	di @@tuju
perjamuan	per @@jamu @@an
musim	musim
membobol	men @@bobol
hidung	hidung
mengantisipasi	men @@antisipasi
almamater	almamater
ketahanan	ke @@tahan @@an
ajak	ajak
tambahkan	tambah @@kan
kekasih	kekasih
tanahnya	tanah @@nya
penetapannya	pen @@tetap @@an @@nya
penuntun	pen @@tuntun
rumahan	rumah @@an
superior	superior
mandat	mandat
meninggalnya	men @@tinggal @@nya
berperang	ber @@perang
tetangga	tetangga
logika	logika
direformasi	di @@reformasi
diperiksa	di @@periksa
melimpah	men @@limpah
label	label
tampaknya	tampak @@nya
ajarannya	ajar @@an @@nya
diperingkat	di @@peringkat
menghentikan	men @@henti @@kan
kepemimpinan	kepemimpinan
panjangnya	panjang @@nya
menghabiskannya	men @@habis @@kan @@nya
bima	bima
hilangkan	hilang @@kan
penggantiannya	pen @@ganti @@an @@nya
gunakan	guna @@kan
mengintensifkan	men @@intensif @@kan
pelayanan	pen @@layan @@an
dikehendaki	di @@kehendak @@i
sentuhan	sentuh @@an
memperpanjang	men @@panjang
sutera	sutera
bersabda	ber @@sabda
berlumpur	ber @@lumpur
tercepat	ter @@cepat
psikologis	psikologis
grosir	grosir
geografis	geografis
menyerap	men @@serap
berendam	ber @@rendam
diam	diam
asramanya	asrama @@nya
promosi	promosi
digerakkan	di @@gerak @@kan
uang	uang
pasarnya	pasar @@nya
area	area
menyediakan	men @@sedia @@kan
rinciannya	rinci @@an @@nya
diindikasikan	di @@indikasi @@kan
digolongkan	di @@golong @@kan
berobatnya	ber @@obat @@nya
darussalam	darussalam
kondisinya	kondisi @@nya
berbasiskan	ber @@basis @@kan
digunakannya	di @@guna @@kan @@nya
berpartisipasi	ber @@partisipasi
mengakali	men @@akal @@i
memasukkannya	men @@masuk @@kan @@nya
duka	duka
ketidakkonsistenan	ke @@tidak @@konsisten @@an
rapi	rapi
majalah	majalah
memprihatinkan	men @@prihatin @@kan
pintu	pintu
bertumbuhnya	ber @@tumbuh @@nya
diverifikasi	di @@verifikasi
batalkan	batal @@kan
terpenuhi	men @@penuh @@i
tangisan	tangis @@an
aman	aman
dialirkan	di @@alir @@kan
isapan	isap @@an
sambutan	sambut @@an
membetulkan	men @@betul @@kan
kualitas	kualitas
dibengkokkan	di @@bengkok @@kan
ratap	ratap
panggang	panggang
penempelan	pen @@tempel @@an
menjelajahi	men @@jelajah @@i
penyeludup	pen @@seludup
badannya	badan @@nya
diperantarai	di @@perantara @@i
pandu	pandu
panglima	panglima
menjumpai	men @@jumpa @@i
mengira	men @@kira
mencabuti	men @@cabut @@i
ditendang	di @@tendang
dilucuti	di @@lucut @@i
menambang	men @@tambang
menyokong	men @@sokong
salinan	salin @@an
antiseparatis	anti @@separatis
dilampirkan	di @@lampir @@kan
membina	men @@bina
menyamai	men @@sama @@i
dimuliakan	di @@mulia @@kan
lama	lama
membacanya	men @@baca @@nya
sukunya	suku @@nya
pengusaha	pen @@usaha
berpasir	ber @@pasir
penelitiannya	pen @@teliti @@an @@nya
menghitung	men @@hitung
jepang	jepang
pelanggannya	pen @@langgan @@nya
bergengsi	ber @@gengsi
dilindungi	di @@lindung @@i
ekstra	ekstra
pelayan	pen @@layan
diusung	di @@usung
rindukan	rindu @@kan
rudal	rudal
lanjuti	lanjut @@i
penonton	pen @@tonton
neraca	neraca
bermimpi	ber @@mimpi
diulas	di @@ulas
kebutuhan	ke @@butuh @@an
menggelikan	men @@geli @@kan
bertujuan	ber @@tuju @@an
mengkritik	men @@kritik
catatan	catat @@an
penundukan	pen @@tunduk @@an
peminatnya	pen @@minat @@nya
muliakan	mulia @@kan
membasuh	men @@basuh
memukul	men @@pukul
misterius	misterius
memajukan	men @@maju @@kan
pelihara	pelihara
pulau	pulau
pengangkutan	pen @@angkut @@an
tertata	ter @@tata
menusuk	men @@tusuk
resep	resep
segi	segi
pegunungan	pegunungan
perhatianku	per @@hati @@an @@ku
sampahnya	sampah @@nya
perikanan	per @@ikan @@an
nampak	nampak
dasawarsa	dasawarsa
semangatnya	semangat @@nya
penggorengan	pen @@goreng @@an
disita	di @@sita
penebangan	pen @@tebang @@an
terbentuk	ter @@bentuk
dileskan	di @@les @@kan
guru	guru
memekakkan	men @@pekak @@kan
menegakkan	men @@tegak @@kan
santrinya	santri @@nya
terserang	ter @@serang
mencabut	men @@cabut
mencocokkan	men @@cocok @@kan
ditanya	di @@tanya
setingkat	se @@tingkat
iris	iris
sesuatu	sesuatu
pindah	pindah
padat	padat
antardesa	antar @@desa
mengunyah	men @@kunyah
rintangannya	rintang @@an @@nya
teritorial	teritorial
menanam	men @@tanam
enumerasinya	enumerasi @@nya
bakar	bakar
bajaknya	bajak @@nya
pendistribusian	pen @@distribusi @@an
tertutupi	ter @@tutup @@i
berperan	ber @@peran
pemasangan	pen @@pasang @@an
mengukuhkan	men @@kukuh @@kan
alamat	alamat
mengkredit	men @@kredit
mengikisnya	men @@kikis @@nya
gitarnya	gitar @@nya
penyebab	pen @@sebab
dibiayai	di @@biaya @@i
olahraganya	olahraga @@nya
penghentian	pen @@henti @@an
pantai	pantai
dilumpuhkan	di @@lumpuh @@kan
mengeksploitasi	men @@eksploitasi
revisi	revisi
puding	puding
menafsirkan	men @@tafsir @@kan
ukraina	ukraina
terjal	terjal
berharga	ber @@harga
pemilikan	pen @@milik @@an
permasalahan	per @@masalah @@an
disalin	di @@salin
bidannya	bidan @@nya
berdampingan	ber @@damping @@an
judul	judul
merenung	men @@renung
proporsi	proporsi
penentuan	pen @@tentu @@an
melemparinya	men @@lempar @@i @@nya
pribadinya	pribadi @@nya
menantu	menantu
penegakan	pen @@tegak @@an
orbit	orbit
jawabku	jawab @@ku
berguna	ber @@guna
berdiskusi	ber @@diskusi
sabda	sabda
berintensitas	ber @@intensitas
ujung	ujung
kuatnya	kuat @@nya
berkuda	ber @@kuda
termasuk	ter @@masuk
menatap	men @@tatap
pasukannya	pasukan @@nya
konsentrasi	konsentrasi
ditata	di @@tata
menjelaskan	men @@jelas @@kan
diperkenankan	di @@per @@kenan @@kan
merotasi	men @@rotasi
koleksinya	koleksi @@nya
bakso	bakso
memantaunya	men @@pantau @@nya
menjahit	men @@jahit
anjlok	anjlok
diakui	di @@aku @@i
penyehatan	pen @@sehat @@an
antarlingkungan	antar @@lingkung @@an
departemen	departemen
fluktuasi	fluktuasi
surabaya	surabaya
maksimum	maksimum
dicapai	di @@capai
dukun	dukun
pendampingan	pen @@damping @@an
barang	barang
lurah	lurah
pangkuannya	pangku @@an @@nya
kalah	kalah
karunnya	karun @@nya
penjelajah	pen @@jelajah
transplantasi	transplantasi
ketidakikutsertaan	ke @@tidak @@ikutserta @@an
bersahabat	ber @@sahabat
terekam	ter @@rekam
terakreditasi	ter @@akreditasi
sepenting	se @@penting
sesamaku	se @@sama @@aku
ibadah	ibadah
sains	sains
pengenalanmu	pen @@kenal @@an @@mu
seberat	se @@berat
dilewati	di @@lewat @@i
lapangan	lapang @@an
penipuan	pen @@tipu @@an
menikahi	men @@nikah @@i
teladanku	teladan @@ku
mendiskusikan	men @@diskusi @@kan
kontrakan	kontrak @@an
adegan	adegan
afiliasi	afiliasi
berpagar	ber @@pagar
gubernur	gubernur
pasang	pasang
lanjutannya	lanjut @@an @@nya
parahnya	parah @@nya
terkasih	ter @@kasih
saraf	saraf
perjudian	per @@judi @@an
dinamakan	di @@nama @@kan
sekantung	se @@kantung
hitungan	hitung @@an
sebisa	se @@bisa
dilekatkan	di @@lekat @@kan
klien	klien
dampingannya	damping @@an @@nya
diajak	di @@ajak
dicarikan	di @@cari @@kan
menilik	men @@tilik
campuran	campur @@an
tempatmu	tempat @@mu
menggumamkan	men @@gumam @@kan
teraniaya	ter @@aniaya
dikesampingkan	di @@kesamping @@kan
periode	periode
