menguraikan	men urai kan
tersier	tersier
ajakan	ajak an
membendung	men bendung
dicatatkan	di catat kan
universitas	universitas
bertumbuhnya	ber tumbuh nya
silang	silang
mencurahkan	men curah kan
implikasinya	implikasi nya
nyatanya	nyata nya
minimal	minimal
mengimplementasi	men implementasi
perlengkapannya	per lengkap an nya
induk	induk
nopember	nopember
sedunia	se dunia
independen	independen
petik	petik
mengelak	men elak
gempa	gempa
hubunganmu	hubung an mu
tambaknya	tambak nya
ditiadakan	di tiada kan
memacu	men pacu
dikeluarkannya	di keluar kan nya
belalang	belalang
bersalju	ber salju
dirumahmu	di rumah mu
dilatarbelakangi	di latarbelakang i
dirampok	di rampok
buyut	buyut
lilin	lilin
multinasional	multinasional
emisi	emisi
ditambah	di tambah
membunuhnya	men bunuh nya
toko	toko
penyumbang	pen sumbang
benturan	bentur an
cetakan	cetak an
depkeu	depkeu
memformulasikan	men formulasi kan
stok	stok
tercanggih	ter canggih
asalkan	asal kan
makan	makan
tindakan	tindak an
sepatah	se patah
pemegang	pen pegang
penyelenggaraannya	pen selenggara an nya
pegawai	pegawai
pemindahan	pen pindah an
regenerasi	regenerasi
tetap	tetap
temannya	teman nya
york	york
terkini	terkini
mikrofon	mikrofon
tuanku	tuan ku
jambu	jambu
komersil	komersil
terkandung	ter kandung
dimilikinya	di milik i nya
purbakala	purbakala
tercatat	ter catat
demonstrasi	demonstrasi
potensialnya	potensial nya
menghimpunkan	men himpun kan
gawat	gawat
pasta	pasta
menurun	men turun
diupah	di upah
representasi	representasi
radiasi	radiasi
pepohonan	pepohonan
sendiri	sendiri
pemuridan	pen murid an
hubunganku	hubung an ku
dewasanya	dewasa nya
terima	terima
menceburkan	men cebur kan
ditampilkan	di tampil kan
memerlukan	men perlu kan
kapal	kapal
menyelenggarakan	men selenggara kan
naikkan	naik kan
direkrut	di rekrut
sepucuk	se pucuk
peningkatannya	pen tingkat an nya
logonya	logo nya
bercanda	ber canda
waspada	waspada
amanat	amanat
prajurit	prajurit
cap	cap
jembatannya	jembatan nya
pai	pai
peternakannya	peternakan nya
memperkenalkan	men kenal kan
panggilan	panggil an
memancingnya	men pancing nya
memikul	men pikul
didirikan	di diri kan
perangkap	pen rangkap
jarum	jarum
suplemen	suplemen
muat	muat
terwakili	ter wakil i
verifikasinya	verifikasi nya
berteknologi	ber teknologi
menjejali	men jejal i
warga	warga
membolos	men bolos
dipikirkannya	di pikir kan nya
terburuk	ter buruk
terprogram	ter program
dieliminasi	di eliminasi
pengadministrasian	pen administrasi an
konvoi	konvoi
merekomendasi	men rekomendasi
terusik	ter usik
penahan	pen tahan
dihormatinya	di hormat i nya
saksi	saksi
masa	masa
diratifikasi	di ratifikasi
serendah	se rendah
renungkan	renung kan
kelopak	kelopak
pilihnya	pilih nya
setia	setia
kasih	kasih
siang	siang
diktenya	dikte nya
memberitahu	men beritahu
mencium	men cium
pertahanan	per tahan an
warganegara	warganegara
mengirimkannya	men kirim kan nya
menyuarakan	men suara kan
ditaburkan	di tabur kan
pembubaran	pen bubar an
berencana	ber rencana
ruh	ruh
dilanjutkannya	di lanjut kan nya
dana	dana
putaran	putar an
terpangkas	ter pangkas
penonton	pen tonton
fokus	fokus
ketidaksetiaan	ke tidak setia an
terkena	ter kena
bangsawan	bangsa wan
peredam	pen redam
meluasnya	men luas nya
diatur	di atur
membeberkan	men beber kan
perahunya	perahu nya
dihuni	di huni
kemajuannya	ke maju an nya
mengaplikasikan	men aplikasi kan
lembar	lembar
dicurahkan	di curah kan
nyanyiannya	nyanyi an nya
bergembira	ber gembira
rendahnya	rendah nya
sanjungan	sanjung an
jumlah	jumlah
melanggankan	men langgan kan
berpaling	ber paling
mengherankan	men heran kan
menunda	men tunda
pengucapan	pen ucap an
mahabintangnya	mahabintang nya
eksportir	eksportir
keluar	keluar
susahnya	susah nya
doakan	doa kan
dilemparkan	di lempar kan
seruan	seru an
alergi	alergi
difokuskan	di fokus kan
mengumpulkannya	men kumpul kan nya
tagih	tagih
amarahnya	amarah nya
mengalokasikannya	men alokasi kan nya
mengimunisasi	men imunisasi
jengkel	jengkel
perwujudan	per wujud an
prosedural	prosedural
persiapannya	per siap an nya
perintis	pen rintis
kebalikannya	ke balik an nya
kuingat	ku ingat
pegunungan	pegunungan
selasa	selasa
diseberangi	di seberang i
setulusnya	se tulus nya
membusuk	men busuk
analisis	analisis
mencurigai	men curiga i
membungkus	men bungkus
menguap	men uap
ditekan	di tekan
dikecewakan	di kecewa kan
menyempurnakan	men sempurna kan
ledakan	ledak an
posisi	posisi
penafsiran	pen tafsir an
diperlukannya	di perlu kan nya
simpan	simpan
menandai	men tanda i
penghubung	pen hubung
belanjaan	belanja an
personil	personil
saudara	saudara
menghujat	men hujat
mutakhir	mutakhir
potensi	potensi
hasrat	hasrat
juruselamatnya	juruselamat nya
membatu	men batu
peringatan	per ingat an
maksudnya	maksud nya
ayu	ayu
lidahnya	lidah nya
topik	topik
anak	anak
substansi	substansi
berdiri	ber diri
pesat	pesat
nasib	nasib
sah	sah
gembalakan	gembala kan
menyediakan	men sedia kan
investasinya	investasi nya
tertabrak	ter tabrak
nota	nota
parlemen	parlemen
diundur	di undur
mempergunakan	men guna kan
mengukur	men ukur
ajaibnya	ajaib nya
diraup	di raup
harapkan	harap kan
gunakan	guna kan
berpikir	ber pikir
nontunai	nontunai
imbangannya	imbang an nya
dilibatkan	di libat kan
dihadiahi	di hadiah i
penalarannya	pen nalar an nya
pengalengan	pen kaleng an
detektif	detektif
berambisi	ber ambisi
menahun	men tahun
pencairan	pen cair an
hari	hari
mingguan	minggu an
kembalinya	kembali nya
pengungsian	pen ungsi an
hadir	hadir
teori	teori
menginginkannya	men ingin kan nya
simpulkan	simpul kan
bidikan	bidik an
membicarakan	men bicara kan
mahabintang	mahabintang
tersebar	ter sebar
dusunnya	dusun nya
dipasok	di pasok
juru	juru
putus	putus
mengetahui	men ketahui
seimannya	se iman nya
perbankan	per bank an
eternitnya	eternit nya
memperkatakan	men kata kan
bersorak	ber sorak
sempurna	sempurna
budimu	budi mu
diperkenalkan	di per kenal kan
didengarnya	di dengar nya
diboboli	di bobol i
seharga	se harga
pendistribusi	pen distribusi
genetik	genetik
gilir	gilir
pengelolaannya	pen kelola an nya
menyulitkan	men sulit kan
milyaran	milyar an
dikumpulkan	di kumpul kan
taurat	taurat
diseleksi	di seleksi
pestanya	pesta nya
taksi	taksi
terjangkit	ter jangkit
mengetuai	men ketua i
terpentingnya	ter penting nya
pahlawan	pahlawan
digadai	di gadai
duduk	duduk
tercemarnya	ter cemar nya
anakku	anak ku
jariku	jari ku
melangkahkan	men langkah kan
dapatkan	dapat kan
parkir	parkir
menikah	men nikah
membelah	men belah
rabu	rabu
mematuhi	men patuh i
bank	bank
penyelaras	pen selaras
ditanggungnya	di tanggung nya
bergengsi	ber gengsi
membiarnya	men biar nya
menegangkan	men tegang kan
instansinya	instansi nya
ribuan	ribu an
membanggakan	men bangga kan
dipersepsikan	di persepsi kan
pengaudit	pen audit
dikompilasi	di kompilasi
menyebabkan	men sebab kan
mereview	men review
dicarinya	di cari nya
pengampunan	pen ampun an
kapalnya	kapal nya
aspirasi	aspirasi
pengarahannya	pen arah an nya
bertenun	ber tenun
mengingini	men ingin i
tafsiran	tafsir an
beradik	ber adik
pembimbingan	pen bimbing an
terenggut	ter renggut
kontribusinya	kontribusi nya
perhitungannya	per hitung an nya
dikasihinya	di kasih i nya
benda	benda
tertatanya	ter tata nya
bis	bis
dihapuskannya	di hapus kan nya
cakap	cakap
berbatu	ber batu
menipu	men tipu
perzinaan	per zina an
dibatalkan	di batal kan
positifnya	positif nya
niatan	niat an
obyeknya	obyek nya
diversifikasi	diversifikasi
penyitaan	pen sita an
luas	luas
pemilih	pen pilih
goyangkan	goyang kan
dikuburkan	di kubur kan
dibungakan	di bunga kan
penggabungan	pen gabung an
gampang	gampang
dioperasikan	di operasi kan
otoritas	otoritas
pejabatnya	pejabat nya
ajak	ajak
prestasinya	prestasi nya
dasarnya	dasar nya
keluh	keluh
pemutakhirannya	pen mutakhir an nya
gua	gua
biji	biji
meramalkan	men ramal kan
berotak	ber otak
alam	alam
membawakan	men bawa kan
menyumbangkan	men sumbang kan
diindikasikan	di indikasi kan
porsi	porsi
berkualitas	ber kualitas
presentasi	presentasi
dimengerti	di mengerti
pemilihnya	pen pilih nya
diutus	di utus
dekade	dekade
memetik	men petik
terbebas	ter bebas
saus	saus
inflasi	inflasi
penciumannya	pen cium an nya
diharapkannya	di harap kan nya
lembaran	lembar an
dibuka	di buka
persaingannya	per saing an nya
berhikmat	ber hikmat
menginterpretasikan	men interpretasi kan
genggam	genggam
impiannya	impian nya
pengayaan	pen kaya an
kudengar	ku dengar
kios	kios
dilatihnya	di latih nya
dicerna	di cerna
berkarakteristik	ber karakteristik
bangga	bangga
sembuh	sembuh
ikuti	ikut i
terpopuler	ter populer
tinggalkan	tinggal kan
menelepon	men telepon
perceraian	per cerai an
agamanya	agama nya
ilustrasi	ilustrasi
insinyur	insinyur
lengan	lengan
menjejakkan	men jejak kan
membalasnya	men balas nya
lambang	lambang
mengedit	men edit
usahakan	usaha kan
mendistribusikannya	men distribusi kan nya
dilatih	di latih
berekspresi	ber ekspresi
narkoba	narkoba
sempurnanya	sempurna nya
mengijonkan	men ijon kan
berperilaku	ber perilaku
istana	istana
semusim	se musim
lontar	lontar
radius	radius
menipisnya	men tipis nya
hebat	hebat
pemiliknya	pen milik nya
didoakan	di doa kan
mendetail	men detail
imbas	imbas
ngerinya	ngeri nya
konversi	konversi
dipulau	di pulau
dikonsentrasikan	di konsentrasi kan
tragis	tragis
produktivitas	produktivitas
surgawi	surgawi
gelap	gelap
memilah	men pilah
anekdot	anekdot
terekspresikan	ter ekspresi kan
pengasuh	pen asuh
hadapi	hadap i
pikirkan	pikir kan
mendefinisikan	men definisi kan
memperpanjang	men panjang
meminimalisasi	men minimalisasi
didatangkan	di datang kan
penjelajah	pen jelajah
tetapkan	tetap kan
disana	di sana
ikutan	ikut an
menggema	men gema
mainnya	main nya
bercerita	ber cerita
konsumen	konsumen
dihimpun	di himpun
diterlantarkan	di terlantar kan
bulu	bulu
kuatnya	kuat nya
diibaratkan	di ibarat kan
musik	musik
beribadah	ber ibadah
kantong	kantong
diserahkannya	di serah kan nya
negatif	negatif
pesan	pesan
pencantuman	pen cantum an
dinikahkan	di nikah kan
saksama	saksama
rp	rp
terhisap	ter hisap
selebihnya	se lebih nya
letih	letih
pasal	pasal
dipisah	di pisah
berbeda	ber beda
memasukan	men pasukan
editorialnya	editorial nya
tercela	ter cela
instansi	instansi
digodok	di godok
mencukupkan	men cukup kan
bermuatan	ber muat an
uu	uu
genggaman	genggam an
ilahi	ilahi
analisi	analis i
bersenjata	ber senjata
merosotnya	merosot nya
kacau	kacau
tim	tim
jungkir	jungkir
syafaat	syafaat
hibah	hibah
tertutup	ter tutup
menghancurkan	men hancur kan
kejatuhan	ke jatuh an
patokan	patok an
antarkomunitas	antar komunitas
memilih	men pilih
menghadiri	men hadir i
ramalan	ramal an
dipedulikan	di peduli kan
memberantas	men berantas
diasumsikan	di asumsi kan
terpandai	ter pandai
condong	condong
menular	men tular
terhutang	ter hutang
terpilihnya	ter pilih nya
berpuasa	ber puasa
kehinaan	ke hina an
athena	athena
ternyata	ter nyata
pendaftaran	pen daftar an
antarsekolah	antar sekolah
antardepartemen	antar departemen
pengikatan	pen ikat an
edaran	edar an
terpikir	ter pikir
sukses	sukses
pekan	pekan
diurus	di urus
pemuka	pen muka
ditargetkan	di target kan
metrologi	metrologi
goncangkan	goncang kan
dipikirkan	di pikir kan
penutupan	pen tutup an
menyiratkan	men sirat kan
perlawanan	per lawan an
menghantui	men hantu i
permintaannya	per minta an nya
pendanaan	pen dana an
pencoretan	pen coret an
orangtuaku	orangtua aku
khususnya	khusus nya
pelanggaran	pen langgar an
menerpanya	men terpa nya
mencermatinya	men cermat i nya
antarjenjang	antar jenjang
tembusan	tembus an
menggelora	men gelora
pengamatan	pengamat an
harapannya	harap an nya
pendaratan	pen darat an
peduli	peduli
populasi	populasi
berlimpahnya	ber limpah nya
pembantaian	pen bantai an
membobol	men bobol
mencelakakan	men celaka kan
selimut	selimut
disiplin	disiplin
diemban	di emban
tuli	tuli
sahabatnya	sahabat nya
menggetarkan	men getar kan
terduga	ter duga
berkekuatan	ber ke kuat an
diajar	di ajar
diinformasikan	di informasi kan
terkelola	ter kelola
pola	pola
cairnya	cair nya
heran	heran
amatir	amatir
tebusan	tebus an
etnis	etnis
mentah	mentah
memancarkan	men pancar kan
mencapai	men capai
optimistis	optimistis
tembakau	tembakau
keluhan	keluh an
jamak	jamak
trendi	trend i
panel	panel
gigih	gigih
pemikiran	pen pikir an
penebangan	pen tebang an
syair	syair
rekor	rekor
memungutnya	men pungut nya
imanmu	iman mu
pertambangan	per tambang an
motor	motor
pelacakan	pen lacak an
dipadati	di padat i
wasit	wasit
jendela	jendela
berpulang	ber pulang
agama	agama
ketidakstabilan	ke tidak stabil an
menyeberangi	men seberang i
terbaca	ter baca
diberlakukan	di ber laku kan
diduga	di duga
saluran	salur an
membahasnya	men bahas nya
gemuruhnya	gemuruh nya
mampu	mampu
hadapanku	hadap an ku
ishak	ishak
mengabdi	men abdi
pohonnya	pohon nya
kiranya	kira nya
terulang	ter ulang
sederhana	sederhana
dampingan	damping an
kupenuhi	ku penuh i
istimewa	istimewa
diakumulasikan	di akumulasi kan
antartingkatan	antar tingkat an
dominasi	dominasi
rakyatnya	rakyat nya
menunjukkan	men tunjuk kan
dipesan	di pesan
pembahasan	pen bahas an
menyimpang	men simpang
ditopang	di topang
sipil	sipil
refleksi	refleksi
dipulihkan	di pulih kan
pengangkatannya	pen angkat an nya
berani	berani
makam	makam
jaraknya	jarak nya
kepercayaan	ke percaya an
gunanya	guna nya
terimakasih	terimakasih
permukaan	per muka an
diingatnya	di ingat nya
taksir	taksir
pilot	pilot
diwakilinya	di wakil i nya
kuburan	kubur an
menambang	men tambang
kinerjanya	kinerja nya
dijadwalkan	di jadwal kan
pesanannya	pesan an nya
berpartisipasi	ber partisipasi
menyingsingkan	men singsing kan
menipis	men tipis
dihakimi	di hakim i
perdana	perdana
senilai	se nilai
handuk	handuk
norwegia	norwegia
penggaduhan	pen gaduh an
robot	robot
dorongan	dorong an
pengelolaan	pen kelola an
aktifitas	aktifitas
transportasi	transportasi
pemecatan	pen pecat an
diamanatkan	di amanat kan
letak	letak
tampil	tampil
menjiwai	men jiwa i
dikenang	di kenang
canggih	canggih
merubah	men rubah
kayu	kayu
dibutuhkannya	di butuh kan nya
kuminta	ku minta
ditimbulkannya	di timbul kan nya
direka	di reka
orangtua	orangtua
penurunannya	pen turun an nya
membencinya	men benci nya
pendamai	pen damai
berotot	ber otot
masjid	masjid
membangkitkanku	men bangkit kan ku
konsultasi	konsultasi
bergiliran	ber gilir an
kemungkinan	kemungkinan
terucap	ter ucap
implikasi	implikasi
nyanyian	nyanyi an
nafas	nafas
matiku	mati ku
pelecehan	pen leceh an
hulu	hulu
tersayat	ter sayat
meledak	men ledak
diambang	di ambang
merindukan	men rindu kan
disangkal	di sangkal
bernaung	ber naung
mendayagunakan	men dayaguna kan
disangga	di sangga
perabot	perabot
kubuang	ku buang
dipercayai	di percaya i
militer	militer
angka	angka
terkendali	ter kendali
dimakannya	di makan nya
kendaraan	kendara an
sabda	sabda
penyatuan	pen satu an
kepergianku	ke pergi an ku
perusakan	pen rusak an
sengit	sengit
dibayar	di bayar
sesampainya	se sampai nya
tetapnya	tetap nya
kendaraannya	kendara an nya
lukanya	luka nya
penyehatan	pen sehat an
andil	andil
berduri	ber duri
antarpengadilan	antar pen adil an
menyantuni	men santun i
menggigitnya	men gigit nya
tiruan	tiru an
terkesan	ter kesan
masyarakat	masyarakat
mencairkan	men cair kan
percontohan	per contoh an
memanennya	men panen nya
terkepung	ter kepung
tutup	tutup
diidentifikasi	di identifikasi
katalis	katalis
memperjelas	men jelas
mendidiknya	men didik nya
terlihat	ter lihat
dinikahi	di nikah i
libur	libur
tercipta	ter cipta
dilaksanakannya	di laksana kan nya
teknis	teknis
percayakan	percaya kan
kasihnya	kasih nya
lokal	lokal
kencang	kencang
mikroskop	mikroskop
menggumamkan	men gumam kan
hektar	hektar
darah	darah
mengemuka	men kemuka
anjing	anjing
melimpahnya	men limpah nya
emosi	emosi
cukurnya	cukur nya
butuh	butuh
arahan	arah an
aktivitasnya	aktivitas nya
fakultas	fakultas
suami	suami
mengosongkannya	men kosong kan nya
pesaing	pesaing
menyatakannya	men nyata kan nya
asap	asap
sedahsyat	se dahsyat
disembuhkan	di sembuh kan
didata	di data
pengorbanan	pen korban an
primer	primer
kerasukan	ke rasuk an
ditentukan	di tentu kan
dilelang	di lelang
situsnya	situs nya
teruskan	terus kan
menghindar	men hindar
penyanyi	pen nyanyi
terdengar	ter dengar
pertimbangannya	per timbang an nya
jerat	jerat
penandatangan	pen tandatangan
mengkonsultasikan	men konsultasi kan
kepalamu	kepala mu
tersambar	ter sambar
menjauh	men jauh
lewatkan	lewat kan
pemberkatan	pen berkat an
menambahkan	men tambah kan
pendatang	pen datang
daya	daya
basah	basah
secangkir	se cangkir
merangsang	men rangsang
mengidentifikasikan	men identifikasi kan
menjadwal	men jadwal
pedagang	pedagang
dipasarkan	di pasar kan
terdorong	ter dorong
mendata	men data
nonaset	non aset
memancar	men pancar
dimiliki	di milik i
mencetuskan	men cetus kan
karung	karung
melelehkan	men leleh kan
ukur	ukur
kriminal	kriminal
disebarkan	di sebar kan
dipadukan	di padu kan
nonkayu	non kayu
gerutu	gerutu
tulisan	tulis an
absah	absah
ambivalen	ambivalen
memamerkan	men pamer kan
selektif	selektif
menyembuhkan	men sembuh kan
sekayu	se kayu
estimasi	estimasi
irlandia	irlandia
membocorkan	men bocor kan
mengharuskan	men harus kan
sucikan	suci kan
taksiran	taksir an
air	air
karakteristiknya	karakteristik nya
longgarnya	longgar nya
frekuensi	frekuensi
perbanyakan	per banyak an
punglinya	pungli nya
penyejuk	pen sejuk
beririgasi	ber irigasi
ditegur	di tegur
penari	pen tari
penggugah	pen gugah
tengkorak	tengkorak
pemungutan	pen pungut an
gas	gas
jenisnya	jenis nya
membenarkan	men benar kan
mempermasalahkannya	men masalah kan nya
penegak	pen tegak
terompetnya	terompet nya
kutuju	ku tuju
imigrasi	imigrasi
kotak	kotak
dimuat	di muat
menghemat	men hemat
perumpamaannya	per umpama an nya
ijon	ijon
persetujuannya	per setuju an nya
penghakiman	pen hakim an
progresif	progresif
menggembala	men gembala
berada	ber ada
wali	wali
memeriksa	men periksa
sukacita	sukacita
pemotongan	pen potong an
datar	datar
dll	dll
raya	raya
memahami	men paham i
diancam	di ancam
penambak	pen tambak
senada	se nada
tni	tn i
penyebab	pen sebab
merefleksikan	men refleksi kan
tari	tari
kepala	kepala
dirawat	di rawat
menitip	men titip
karbon	karbon
saham	saham
sedangkan	sedang kan
jelasnya	jelas nya
kebutuhannya	ke butuh an nya
bir	bir
anjuran	anjur an
pemutusan	pen putus an
komisaris	komisaris
pajak	pajak
jurusan	jurus an
tembakan	tembak an
berdalih	ber dalih
menguasai	men kuasa i
tiba	tiba
dikonsultasikan	di konsultasi kan
badan	badan
istilah	istilah
vaksin	vaksin
kuajarkan	ku ajar kan
ketidaksuksesan	ke tidak sukses an
dibutakan	di buta kan
menyentuh	men sentuh
suci	suci
menempatkan	men tempat kan
birokrasi	birokrasi
penundaan	pen tunda an
bertani	ber tani
nondepartemen	non departemen
peluru	peluru
gajian	gaji an
mencurinya	men curi nya
menggosok	men gosok
berpikiran	ber pikir an
tangis	tangis
menyebutkan	men sebut kan
penunggak	pen tunggak
mengenakannya	men kena kan nya
menjamu	men jamu
meletakkannya	men letak kan nya
dibagi	di bagi
penyerangan	pen serang an
mempercayakan	men percaya kan
mengecilkan	men kecil kan
tol	tol
mewakilinya	men wakil i nya
selisihnya	selisih nya
membebaskannya	men bebas kan nya
suara	suara
isu	isu
institusional	institusional
diberitahu	di beritahu
bertemakan	ber tema kan
dakwaan	dakwa an
dihantam	di hantam
pemanfaat	pen manfaat
terbantahkan	ter bantah kan
mengintai	men intai
dideritanya	di derita nya
melenyapkan	men lenyap kan
antarkabupaten	antar kabupaten
tersulit	ter sulit
sebatang	se batang
sebagus	se bagus
jualan	jual an
logis	logis
hotel	hotel
menghitungnya	men hitung nya
pemungutannya	pen pungut an nya
berdedikasi	ber dedikasi
keberadaan	keberadaan
pemainnya	pen main nya
akhirnya	akhir nya
observasi	observasi
disingkirkan	di singkir kan
terbentang	ter bentang
dikritik	di kritik
tetesan	tetes an
tubuhku	tubuh ku
naskah	naskah
penumpukan	pen tumpuk an
menebusnya	men tebus nya
mendatanginya	men datang i nya
terhindarkan	ter hindar kan
sisi	sisi
mudanya	muda nya
melambaikan	men lambai kan
dosa	dosa
membuatkan	men buat kan
laksanakan	laksana kan
diharap	di harap
dijanjikan	di janji kan
dideklarasikan	di deklarasi kan
kabupaten	kabupaten
cara	cara
lobang	lobang
menanyakan	men tanya kan
pelacur	pen lacur
terdahsyat	ter dahsyat
kemunculan	ke muncul an
terbayangkan	ter bayang kan
memenuhinya	men penuh i nya
ditindaklanjuti	di tindaklanjut i
seterusnya	se terus nya
sawahnya	sawah nya
februari	februari
natur	natur
terlaksana	ter laksana
formatnya	format nya
permanen	permanen
mendengarnya	men dengar nya
dicetuskan	di cetus kan
penyebarannya	pen sebar an nya
jiwa	jiwa
memfokuskan	men fokus kan
ambilkan	ambil kan
pemerintahnya	pen perintah nya
ditimpakan	di timpa kan
menyuapkannya	men suap kan nya
merahasiakan	men rahasia kan
memurnikan	men murni kan
pertikaian	pertikaian
dicoba	di coba
saran	saran
privat	privat
menyambung	men sambung
ambil	ambil
merendahkan	men rendah kan
berprofesi	ber profesi
menuduhnya	men tuduh nya
amoral	amoral
mekaniknya	mekanik nya
mencacah	men cacah
diusik	di usik
menerapkannya	men terap kan nya
traktornya	traktor nya
mencabutnya	men cabut nya
pendamaian	pen damai an
mengajarinya	men ajar i nya
ketidakpuasan	ke tidak puas an
les	les
selain	se lain
gitar	gitar
perempuan	perempuan
identik	identik
dangkal	dangkal
pertolongan	per tolong an
setimpal	setimpal
persegi	persegi
ditangani	di tangan i
memprotes	men protes
dikhianati	di khianat i
meningkatnya	men tingkat nya
ketidaksepakatan	ke tidak sepakat an
menggembalakan	men gembala kan
pasangan	pasang an
himbauan	himbau an
antartempat	antar tempat
ulangan	ulang an
diselenggarakan	di selenggara kan
tekadnya	tekad nya
terhindar	ter hindar
pelaut	pen laut
keterlibatan	ke terlibat an
digenapi	di genap i
guncangan	guncang an
mengkoordinasikannya	men koordinasi kan nya
dimaknai	di makna i
peledak	pen ledak
memainkannya	men main kan nya
berintegritas	ber integritas
bisnis	bisnis
dicarikan	di cari kan
rawat	rawat
penyelidikan	pen selidik an
pelatih	pen latih
melampirkannya	men lampir kan nya
bernada	ber nada
agungnya	agung nya
caranya	cara nya
hasil	hasil
rinci	rinci
mencontohkan	men contoh kan
mengidap	men idap
dibebankan	di beban kan
penerbangannya	pen terbang an nya
melihat	men lihat
darat	darat
bendera	bendera
dicatat	di catat
menyamar	men samar
luka	luka
perantara	perantara
persekolahan	per sekolah an
diangkutnya	di angkut nya
malam	malam
terkutuk	ter kutuk
perduli	perduli
jubah	jubah
pengambilan	pen ambil an
praktiknya	praktik nya
sosial	sosial
tersaji	ter saji
melambung	men lambung
pembobolan	pen bobol an
sediakan	sedia kan
kapital	kapital
mendapatkan	men dapat kan
menunjukkannya	men tunjuk kan nya
ambivalensi	ambivalensi
berwewenang	ber wewenang
perkaretan	per karet an
bentrokan	bentrok an
cakupannya	cakup an nya
kritik	kritik
hunian	huni an
menghubungkannya	men hubung kan nya
muara	muara
duta	duta
senjata	senjata
puskesmas	puskesmas
lindung	lindung
memeluk	men peluk
diizinkan	di izin kan
menghabiskan	men habis kan
kedelai	kedelai
ketidakikutsertaan	ke tidak ikutserta an
provinsinya	provinsi nya
nun	nun
tersingkap	ter singkap
diperbesar	di per besar
membukakan	men buka kan
pulih	pulih
tersihir	ter sihir
menyelesaikannya	men selesai kan nya
patung	patung
sabotase	sabotase
membingungkan	men bingung kan
terlintas	ter lintas
berhadapan	ber hadap an
aset	aset
resminya	resmi nya
lelang	lelang
pendahuluan	pendahulu an
mengingatnya	men ingat nya
menyambut	men sambut
barangsiapa	barangsiapa
pelimpahan	pen limpah an
penyerapan	pen serap an
menguduskan	men kudus kan
meyakinkan	men yakin kan
dijahitkan	di jahit kan
ditafsirkan	di tafsir kan
proposal	proposal
bajak	bajak
dinamis	dinamis
perkotaan	per kota an
distribusi	distribusi
didikan	didik an
bertanding	ber tanding
menggerebek	men gerebek
parit	parit
bekerjasama	bekerjasama
pernyataan	per nyata an
pembesar	pen besar
bahasa	bahasa
dibimbing	di bimbing
pencegahan	pen cegah an
padi	padi
proporsi	proporsi
dicanangkannya	di canang kan nya
ditunjuk	di tunjuk
merampas	men rampas
berupa	ber rupa
tertahankan	ter tahan kan
diperebutkan	di per rebut kan
yusuf	yusuf
dipinjami	di pinjam i
meringkas	men ringkas
sebut	sebut
nasabah	nasabah
lanjutannya	lanjut an nya
memandangku	men pandang ku
pemantapan	pen mantap an
menggeluti	men gelut i
depresi	depresi
penggalangan	pen galang an
mengelabui	men kelabui
belanja	belanja
pembobotan	pen bobot an
komponen	komponen
mencakup	men cakup
kekeliruan	ke keliru an
menanti	menanti
pintu	pintu
mendetil	men detil
segel	segel
ruangnya	ruang nya
dikepung	di kepung
berbekal	ber bekal
penjaga	pen jaga
tertuang	ter tuang
menyiarkan	men siar kan
temanmu	teman mu
batuan	batu an
dirapatkan	di rapat kan
asi	as i
dekatnya	dekat nya
pekerjaannya	pekerja an nya
diusahakannya	di usaha kan nya
tinju	tinju
dirham	dirham
mengandung	men kandung
kriteria	kriteria
dimotori	di motor i
efek	efek
identifikasi	identifikasi
awal	awal
sihir	sihir
neneknya	nenek nya
membangun	men bangun
misinya	misi nya
mendapatinya	men dapat i nya
memperbarui	men baru i
berbatasan	ber batas an
asuransi	asuransi
dibohongi	di bohong i
salad	salad
amal	amal
penyeragaman	pen seragam an
memikulmu	men pikul mu
mengakhirinya	men akhir i nya
arkeologi	arkeologi
calon	calon
nonfisik	non fisik
disamakan	di sama kan
luasnya	luas nya
kebakaran	ke bakar an
sikat	sikat
asing	asing
tekstil	tekstil
hak	hak
berterimakasih	ber terimakasih
melarat	melarat
meleleh	men leleh
terformulasi	ter formulasi
jalanya	jala nya
astronom	astronom
kelahiran	ke lahir an
pemasangan	pen pasang an
salah	salah
uluran	ulur an
melanjutkan	men lanjut kan
penampung	pen tampung
pemboman	pen bom an
statistik	statistik
penyebabnya	pen sebab nya
material	material
berteduh	ber teduh
mobilisasi	mobilisasi
tempo	tempo
kepingan	keping an
memburuk	men buruk
bersoal	ber soal
liberal	liberal
bimbingan	bimbing an
menyerahkannya	men serah kan nya
arteri	arteri
lancarnya	lancar nya
katamu	kata mu
ditinggalkan	di tinggal kan
dilaporkan	di lapor kan
menyedihkannya	men sedih kan nya
nyawa	nyawa
ketidakcocokan	ke tidak cocok an
komitenya	komite nya
gundul	gundul
tunangan	tunang an
menewaskan	men tewas kan
meriah	meriah
menggeser	men geser
berbunyi	ber bunyi
menjengkelkan	men jengkel kan
hektare	hektare
keberangkatan	ke berangkat an
menjalar	men jalar
sengsara	sengsara
sekeliling	se keliling
penjamin	pen jamin
penambangan	pen tambang an
cengkehnya	cengkeh nya
ketidakbahagiaan	ke tidak bahagia an
gumuli	gumul i
berdaya	ber daya
petugas	petugas
pelindung	pen lindung
didengarkan	di dengar kan
kenakan	kena kan
paten	paten
roh	roh
perkampungan	per kampung an
