mengganggu	men ganggu
dipikirkan	di pikir kan
diagram	diagram
tercium	ter cium
dasarnya	dasar nya
dianugerahkan	di anugerah kan
perluasan	per luas an
ekor	ekor
mendiskusikan	men diskusi kan
lidahnya	lidah nya
melaluinya	men lalu i nya
dimaksud	di maksud
sumbangan	sumbang an
iuran	iuran
teralihkan	ter alih kan
terbaring	ter baring
dikoreksi	di koreksi
editorialnya	editorial nya
berawal	ber awal
pemilu	pemilu
teologiku	teologi ku
pendirian	pen diri an
bawakan	bawa kan
pembaruannya	pen baru an nya
mencari	men cari
elemen	elemen
arus	arus
menggugah	men gugah
menduplikasi	men duplikasi
terekspresikan	ter ekspresi kan
kalimat	kalimat
berunding	ber runding
berobatnya	ber obat nya
letaknya	letak nya
dilaluinya	di lalu i nya
bersinggungan	ber singgung an
tersegmentasi	ter segmentasi
mencabuti	men cabut i
biografi	biografi
tembakan	tembak an
karung	karung
tertahan	ter tahan
pencanangan	pen canang an
beragam	ber ragam
panglima	panglima
kayuh	kayuh
pembaruan	pen baru an
listriknya	listrik nya
mengendarainya	men kendara i nya
dibuka	di buka
teritorial	teritorial
belah	belah
iseng	iseng
dicerna	di cerna
milik	milik
tim	tim
lekat	lekat
perceraiannya	per cerai an nya
dicanangkan	di canang kan
jenisnya	jenis nya
for	for
membekas	men bekas
rancu	rancu
menuliskan	men tulis kan
maraknya	marak nya
hal	hal
bom	bom
berfluktuasi	ber fluktuasi
manuver	manuver
proteinnya	protein nya
daratan	darat an
penanggung	pen tanggung
memperbaiki	men baik i
ruu	ruu
bertahan	ber tahan
perlintasan	per lintas an
uraian	urai an
penitipan	pen titip an
janji	janji
usul	usul
protokol	protokol
kaum	kaum
fotonya	foto nya
antarvariabel	antar variabel
celana	celana
ditiadakan	di tiada kan
terjaganya	ter jaga nya
terawat	ter rawat
pertolongannya	per tolong an nya
sampahnya	sampah nya
lupa	lupa
pendengarnya	pen dengar nya
bakteri	bakteri
rasio	rasio
bau	bau
berhenti	ber henti
keinginan	ke ingin an
akumulasi	akumulasi
diganti	di ganti
mengembara	men kembara
dikoleksi	di koleksi
memberlakukan	men ber laku kan
daratnya	darat nya
teladannya	teladan nya
diangsur	di angsur
memperlancar	men lancar
mengalokasikan	men alokasi kan
mengajaknya	men ajak nya
menulis	men tulis
perburuhan	per buruh an
diberikan	di beri kan
lingkup	lingkup
terpaksa	ter paksa
lembu	lembu
minimnya	minim nya
arti	arti
sore	sore
pentingnya	penting nya
laporannya	lapor an nya
membuatmu	men buat mu
jemu	jemu
tipe	tipe
niatan	niat an
bakatnya	bakat nya
berambisi	ber ambisi
dataran	datar an
sesamanya	se sama nya
membusuk	men busuk
dilaporkan	di lapor kan
disana	di sana
pencapaian	pen capai an
kapten	kapten
game	game
dipenjara	di penjara
alternatif	alternatif
akbar	akbar
hektare	hektare
memayungi	men payung i
karakteristik	karakteristik
aus	aus
berkebangsaan	ber ke bangsa an
waktunya	waktu nya
pintu	pintu
pembelian	pen beli an
membebani	men beban i
dititipkan	di titip kan
membimbingnya	men bimbing nya
adikku	adik ku
merakit	men rakit
seraya	se raya
mendua	men dua
prasangka	prasangka
wisma	wisma
tujukan	tuju kan
diikutsertakan	di ikutserta kan
administratif	administratif
mendokumentasi	men dokumentasi
dilucuti	di lucut i
mekanismenya	mekanisme nya
perolehan	peroleh an
mengelolanya	men kelola nya
menentukan	men tentu kan
stiker	stiker
baku	baku
resep	resep
mengisolasi	men isolasi
pujian	puji an
penganiaya	pen aniaya
pemusik	pen musik
administratifnya	administratif nya
psikologis	psikologis
pemutar	pen putar
sangkut	sangkut
memasukkannya	men masuk kan nya
dipanggil	di panggil
ngeri	ngeri
utara	utara
membidik	men bidik
ditanggapi	di tanggap i
dieksekusi	di eksekusi
kupercaya	ku percaya
timur	timur
pengumumannya	pen umum an nya
dijahit	di jahit
memperparah	men parah
dinyanyikan	di nyanyi kan
paparan	papar an
kelahiran	ke lahir an
andal	andal
juni	juni
menyamar	men samar
dikeluarkan	di keluar kan
perhitungan	per hitung an
relasi	relasi
tahan	tahan
terbakar	ter bakar
keterampilannya	keterampilan nya
emosi	emosi
repotnya	repot nya
mendiami	men diam i
tempuran	tempur an
gerejanya	gereja nya
pertalian	per tali an
mentari	mentari
perekat	pen rekat
badai	badai
rindukan	rindu kan
mengelompokkannya	men kelompok kan nya
percontohan	per contoh an
seusai	se usai
melangkahi	men langkah i
perjamuan	per jamu an
ketidakpatuhan	ke tidak patuh an
muluk	muluk
berjarak	ber jarak
penggagasnya	pen gagas nya
investigasinya	investigasi nya
mengupayakan	men upaya kan
lereng	lereng
sampannya	sampan nya
memonopoli	men monopoli
menyangka	men sangka
tugasnya	tugas nya
membayarnya	men bayar nya
anonim	anonim
arab	arab
mencurangi	men curang i
antarjenjang	antar jenjang
diusahakannya	di usaha kan nya
memetakan	men peta kan
ditandai	di tanda i
didapat	di dapat
merapikan	men rapi kan
terlayani	ter layan i
pencinta	pen cinta
baki	bak i
pendekatan	pen dekat an
pemberontak	pen berontak
sehebat	se hebat
mengklaim	men klaim
buktinya	bukti nya
persepsi	persepsi
sampul	sampul
akrab	akrab
putuskan	putus kan
tewasnya	tewas nya
perusahaannya	per usaha an nya
medan	medan
pegawai	pegawai
penghambat	pen hambat
mengantri	men antri
luapan	luap an
dijual	di jual
digenapi	di genap i
terbentur	ter bentur
jawabku	jawab ku
pengimplementasian	pen implementasi an
bahagia	bahagia
diimplementasikan	di implementasi kan
penampilan	pen tampil an
memungkinkan	memungkinkan
alamiah	alamiah
disalahgunakan	di salahguna kan
istrinya	istri nya
berpindah	ber pindah
perunggu	perunggu
terpelajar	ter pelajar
aparatur	aparatur
dikunjunginya	di kunjung i nya
disetujui	di setuju i
terkena	ter kena
mendamaikan	men damai kan
hutan	hutan
penanaman	pen tanam an
pendahulunya	pendahulu nya
gembira	gembira
ditayangkan	di tayang kan
diekspor	di ekspor
bercukur	ber cukur
satuan	satu an
mengirim	men kirim
menyapanya	men sapa nya
berpegang	ber pegang
sempitnya	sempit nya
ceritanya	cerita nya
berlomba	ber lomba
jakarta	jakarta
melegakan	men lega kan
rekapitulasinya	rekapitulasi nya
diklasifikasi	di klasifikasi
betul	betul
duniawi	duniawi
tokoh	tokoh
penyiarnya	pen siar nya
jubah	jubah
stakeholder	stakeholder
tikus	tikus
mengairi	men air i
berjanji	ber janji
survei	survei
tuntutannya	tuntut an nya
belalai	belalai
dilelang	di lelang
supir	supir
kondisinya	kondisi nya
menciptakan	men cipta kan
rendah	rendah
berperan	ber peran
diadakan	di ada kan
mikro	mikro
diselidiki	di selidik i
penyisihan	pen sisih an
pelayarannya	pen layar an nya
berpihak	ber pihak
diperhadapkan	di per hadap kan
berbuntut	ber buntut
kerumunan	kerumun an
sebenarnya	se benar nya
visinya	visi nya
ditinggal	di tinggal
bibit	bibit
gigih	gigih
penerjemah	pen terjemah
membunuh	men bunuh
menyusahkan	men susah kan
elektronik	elektronik
putraku	putra aku
gulungan	gulung an
menuntunnya	men tuntun nya
diandalkan	di andal kan
dicarinya	di cari nya
tergusur	ter gusur
bawa	bawa
hidrogen	hidrogen
godaan	goda an
penyiar	pen siar
menganiaya	men aniaya
direnovasinya	di renovasi nya
membohongi	men bohong i
kas	kas
cerminan	cermin an
direktorat	direktorat
menyegarkan	men segar kan
menikahinya	men nikah i nya
mengudara	men udara
agustus	agustus
gajian	gaji an
bertugas	ber tugas
ular	ular
diajar	di ajar
memerankan	men peran kan
membungkuk	men bungkuk
menguatkan	men kuat kan
stres	stres
ditukar	di tukar
petunjuknya	petunjuk nya
membengkak	men bengkak
manusianya	manusia nya
palang	palang
jumlah	jumlah
ceroboh	ceroboh
tragedi	tragedi
tabel	tabel
injil	injil
tertinggi	ter tinggi
peninggalan	pen tinggal an
tersita	ter sita
diketahuinya	di ketahui nya
pungutan	pungut an
irigasi	irigasi
iman	iman
membahasnya	men bahas nya
tajamnya	tajam nya
ibukota	ibukota
disebut	di sebut
sahut	sahut
mengesampingkan	men kesamping kan
partikel	partikel
kostum	kostum
melayani	men layan i
setahap	se tahap
sertifikatnya	sertifikat nya
menggantikannya	men ganti kan nya
pasokan	pasok an
menyamai	men sama i
jambu	jambu
tersadar	ter sadar
bertukar	ber tukar
makanannya	makan an nya
punggung	punggung
mencela	men cela
penggoda	pen goda
lelaki	lelaki
kemarau	kemarau
pencerahan	pen cerah an
dipahaminya	di paham i nya
terasing	ter asing
berproduksi	ber produksi
menggiatkan	men giat kan
rokok	rokok
cadang	cadang
kurs	kurs
terenggut	ter renggut
mempublikasikannya	men publikasi kan nya
merendahkan	men rendah kan
menggemakan	men gema kan
partisipasinya	partisipasi nya
perseroan	perseroan
instalasi	instalasi
kemasan	kemas an
telaah	telaah
menayangkan	men tayang kan
target	target
diketahui	di ketahui
surabaya	surabaya
mengagumkan	men kagum kan
dijajakan	di jaja kan
persentasenya	persentase nya
moskow	moskow
lapang	lapang
syiah	syiah
gubernurnya	gubernur nya
terbaru	ter baru
punggungnya	punggung nya
terbuat	ter buat
pulsa	pulsa
perekonomian	per ekonomi an
peredam	pen redam
menyuruh	men suruh
berlutut	ber lutut
validitas	validitas
dipermuliakan	di per mulia kan
penebus	pen tebus
alarm	alarm
kakak	kakak
serigala	serigala
memperkecil	men kecil
fragmen	fragmen
penghiburan	pen hibur an
pinjamannya	pinjam an nya
balok	balok
tersihir	ter sihir
berlahan	ber lahan
mengikat	men ikat
dihidangkan	di hidang kan
produksinya	produksi nya
terendam	ter rendam
mahabintang	mahabintang
mempersoalkan	men soal kan
terkaya	ter kaya
riilnya	riil nya
ingatannya	ingat an nya
terpuruk	ter puruk
diselenggarakan	di selenggara kan
menggoncangkan	men goncang kan
buta	buta
reformasi	reformasi
studinya	studi nya
skandal	skandal
membalikkan	men balik kan
bawahmu	bawah mu
mencicil	men cicil
peralihan	per alih an
pertimbangannya	per timbang an nya
dokumennya	dokumen nya
belanja	belanja
berpotensi	ber potensi
direncanakan	di rencana kan
analisisnya	analisis nya
identitas	identitas
potensial	potensial
dicirikan	di ciri kan
ekspor	ekspor
bab	bab
jahit	jahit
wasiat	wasiat
coraknya	corak nya
eksportir	eksportir
upayanya	upaya nya
payahmu	payah mu
bersalin	ber salin
memanjatkan	men panjat kan
dijumpainya	di jumpa i nya
bak	bak
masukan	masuk an
bertempur	ber tempur
kirim	kirim
mencacah	men cacah
komunis	komunis
berjasa	ber jasa
sekadar	se kadar
karunnya	karun nya
perdananya	perdana nya
mangsanya	mangsa nya
khotbah	khotbah
pilih	pilih
cahaya	cahaya
distorsi	distorsi
terbelit	ter belit
segan	segan
tatapannya	tatap an nya
gitar	gitar
diperbaharui	di per baharu i
dicocokkan	di cocok kan
seabad	se abad
baju	baju
tersambar	ter sambar
berkeliling	ber keliling
kelasnya	kelas nya
kabel	kabel
wajahnya	wajah nya
berteguh	ber teguh
terwujudnya	ter wujud nya
perhiasan	per hias an
berwujud	ber wujud
disimpulkan	di simpul kan
soal	soal
laparnya	lapar nya
mencerahkan	men cerah kan
bertakhta	ber takhta
luas	luas
berdampak	ber dampak
antarkeyakinan	antar ke yakin an
pernafasan	per nafas an
sisiku	sisi ku
bermuatan	ber muat an
prosedurnya	prosedur nya
dilupakannya	di lupa kan nya
pengukuran	pen ukur an
terparah	ter parah
pembimbingan	pen bimbing an
mengadili	men adil i
penting	penting
tema	tema
dipandu	di pandu
peletakan	pen letak an
menegur	men tegur
dipamerkan	di pamer kan
waktu	waktu
kemarin	kemarin
terlarang	ter larang
usulannya	usul an nya
terjangan	terjang an
penyelidikan	pen selidik an
penugasan	pen tugas an
hungaria	hungaria
penyusunan	pen susun an
darahnya	darah nya
umur	umur
bidan	bidan
dipersalahkan	di per salah kan
penahanan	pen tahan an
menduga	men duga
juri	juri
pembatasan	pen batas an
paduan	padu an
pembentukan	pen bentuk an
rekapitulasi	rekapitulasi
organisasi	organisasi
liar	liar
memilihkan	men pilih kan
diperhitungkan	di per hitung kan
penyuluhan	pen suluh an
dijunjung	di junjung
tersisihkan	ter sisih kan
terpalang	ter palang
jalanya	jala nya
lusinan	lusin an
berkorelasi	ber korelasi
gunting	gunting
penundaan	pen tunda an
purba	purba
bersamaan	ber sama an
surutnya	surut nya
sepatu	sepatu
ilegal	ilegal
dijaminkan	di jamin kan
disamping	di samping
nada	nada
merespons	men respons
ekstra	ekstra
keberadaannya	keberadaan nya
ditunjukan	di tunjuk an
kode	kode
sekeras	se keras
balas	balas
dirobek	di robek
pikiranmu	pikir an mu
pasifik	pasifik
menangkis	men tangkis
konsultan	konsultan
tanggapan	tanggap an
terompet	terompet
fisiknya	fisik nya
pertanian	per tani an
butir	butir
keheranan	ke heran an
pembedaan	pen beda an
sintetis	sintetis
berbahagia	ber bahagia
diwarisi	di waris i
tren	tren
persetujuan	per setuju an
melemparkannya	men lempar kan nya
moneter	moneter
tercetak	ter cetak
kapalnya	kapal nya
jual	jual
urut	urut
salad	salad
menyambut	men sambut
bersandarkan	ber sandar kan
pengajarnya	pen ajar nya
sebagus	se bagus
defensif	defensif
dibutakan	di buta kan
menghamparkan	men hampar kan
masjid	masjid
padang	padang
bermata	ber mata
berniat	ber niat
diberitahukan	di beritahu kan
diuntungkan	di untung kan
rumitnya	rumit nya
pendapatannya	pen dapat an nya
menyalurkannya	men salur kan nya
ucapannya	ucap an nya
narkotika	narkotika
disurvei	di survei
menginjakkan	men injak kan
menganggarkan	men anggar kan
kaleng	kaleng
pendisiplinan	pen disiplin an
dinyatakan	di nyata kan
renangnya	renang nya
warnanya	warna nya
panduan	pandu an
dikonsolidasi	di konsolidasi
hubungannya	hubung an nya
disalibkan	di salib kan
internet	internet
dipisahkan	di pisah kan
dipanen	di panen
pelintasan	pen lintas an
menganjurkan	men anjur kan
kiri	kiri
jumlahnya	jumlah nya
bersentuhan	ber sentuh an
pembukuannya	pen buku an nya
elit	elit
supervisi	supervisi
pelunak	pen lunak
dikalahkan	di kalah kan
mencolok	men colok
lembah	lembah
batinnya	batin nya
menyimak	men simak
tempati	tempat i
ratapan	ratap an
gawat	gawat
disadari	di sadar i
oknum	oknum
anugerah	anugerah
mencipratkan	men ciprat kan
berkebalikan	ber ke balik an
alokasinya	alokasi nya
karyawannya	karya wan nya
judi	judi
meredakan	men reda kan
perwira	perwira
teknisnya	teknis nya
acuan	acu an
handal	handal
menangani	men tangan i
jaksa	jaksa
atap	atap
mempersingkat	men singkat
nonrumah	non rumah
dibawa	di bawa
diawasi	di awas i
penguasaan	pen kuasa an
dinasnya	dinas nya
hibur	hibur
menjadikannya	men jadi kan nya
menyiarkan	men siar kan
menugaskan	men tugas kan
diperbuatnya	di per buat nya
mengenalkan	men kenal kan
tuju	tuju
terkendala	ter kendala
terkutuk	ter kutuk
kampung	kampung
berpacu	ber pacu
kamp	kamp
penganut	pen anut
prosesnya	proses nya
temanmu	teman mu
tampilan	tampil an
ditelaah	di telaah
bertambah	ber tambah
bantuannya	bantu an nya
mengingatkan	men ingat kan
melarat	melarat
angkutan	angkut an
diperlebar	di per lebar
komponennya	komponen nya
sabaran	sabar an
diinterogasi	di interogasi
reputasi	reputasi
terjangkit	ter jangkit
dijahitkan	di jahit kan
memberatkan	men berat kan
didikan	didik an
takluk	takluk
penerbangan	pen terbang an
mahasiswa	mahasiswa
panjang	panjang
baik	baik
bertani	ber tani
debitur	debitur
pria	pria
tertekan	ter tekan
kehendakku	kehendak ku
pembeliannya	pen beli an nya
abdikan	abdi kan
imanmu	iman mu
diliputi	di liput i
tekun	tekun
segar	segar
susunan	susun an
beragamnya	ber ragam nya
dicetak	di cetak
mengenyahkan	men enyah kan
pemilihannya	pen pilih an nya
independensinya	independensi nya
jaman	jam an
terkejut	ter kejut
pelebaran	pen lebar an
mengikutkan	men ikut kan
semapan	se mapan
pengasinan	pen asin an
hangus	hangus
burung	burung
berkomitmen	ber komitmen
pendeta	pendeta
didanai	di dana i
pertaruhan	per taruh an
perintah	perintah
memungut	men pungut
salah	salah
berkompromi	ber kompromi
bersekolah	ber sekolah
ditekel	di tekel
musuhnya	musuh nya
jarangnya	jarang nya
mengamanatkan	men amanat kan
selisihnya	selisih nya
dipelajari	di pelajar i
berakibat	ber akibat
memperkenankan	men kenan kan
mengaplikasikan	men aplikasi kan
kandangnya	kandang nya
audit	audit
terselubung	ter selubung
mengakhirinya	men akhir i nya
opini	opini
merenovasi	men renovasi
negatif	negatif
hadirnya	hadir nya
diperkirakan	di per kira kan
didirikan	di diri kan
dibaca	di baca
mangsa	mangsa
roboh	roboh
statusnya	status nya
sembuh	sembuh
sejawatnya	se jawat nya
pertolongan	per tolong an
tarif	tarif
medis	medis
menabrak	men tabrak
guntingan	gunting an
diharapkan	di harap kan
obatnya	obat nya
benak	benak
mulia	mulia
ketidaksuburan	ke tidak subur an
implementasinya	implementasi nya
antikomunis	anti komunis
berkesusahan	ber ke susah an
prestise	prestise
dikenali	di kenal i
hewan	hewan
telak	telak
curiga	curiga
terkurung	ter kurung
semampu	se mampu
ketidaktersediaan	ke tidak tersedia an
diurutkan	di urut kan
calon	calon
teragung	ter agung
dekan	dek an
nonpersonel	non personel
pengelompokan	pen kelompok an
diwakili	di wakil i
sektarian	sektarian
pemecatan	pen pecat an
dipadati	di padat i
mengutusnya	men utus nya
diterjemahkan	di terjemah kan
diselaraskan	di selaras kan
istri	istri
ditegur	di tegur
teratur	ter atur
proyeksi	proyeksi
sekretaris	sekretaris
antarindustri	antar industri
menyebabkannya	men sebab kan nya
kabarkan	kabar kan
didukung	di dukung
diulangi	di ulang i
dolar	dolar
rahmat	rahmat
lompatan	lompat an
sukarnya	sukar nya
kamboja	kamboja
bapanya	bapa nya
astronom	astronom
bola	bola
parit	parit
berpasir	ber pasir
pembesar	pen besar
timah	timah
mengobati	men obat i
dalih	dalih
pigmen	pigmen
bernyanyi	ber nyanyi
mengalokasi	men alokasi
hapuskan	hapus kan
berkeberatan	ber ke berat an
sanggup	sanggup
perimbangan	per imbang an
terapkan	terap kan
merahasiakan	men rahasia kan
pelanggarannya	pen langgar an nya
hakekatnya	hakekat nya
peluncuran	pen luncur an
mendukung	men dukung
menggabungkan	men gabung kan
senilai	se nilai
rudal	rudal
kantor	kantor
berkulit	ber kulit
tesnya	tes nya
berjuang	ber juang
uang	uang
menerbitkan	men terbit kan
bertumbuhnya	ber tumbuh nya
dicurangi	di curang i
didiknya	didik nya
karyawan	karya wan
memperingati	men ingat i
giliran	gilir an
restrukturisasi	restrukturisasi
penyesalan	pen sesal an
dicuci	di cuci
memperbaikinya	men baik i nya
bapaknya	bapak nya
mengacaukan	men kacau kan
analogi	analog i
simpan	simpan
jemput	jemput
kurikulum	kurikulum
tampil	tampil
antarpemerintah	antar pen perintah
meresponnya	men respon nya
berlumpur	ber lumpur
investor	investor
menggulirkan	men gulir kan
lanjuti	lanjut i
selang	selang
bersiap	ber siap
diproduksi	di produksi
perbendaharaannya	per bendahara an nya
sejauh	se jauh
hancurnya	hancur nya
direformasi	di reformasi
terdahulu	terdahulu
ditinjau	di tinjau
rambut	rambut
berputar	ber putar
rentan	rentan
penggantian	pen ganti an
dibiasakan	di biasa kan
kukenal	ku kenal
bersamaku	ber sama aku
mingguan	minggu an
dipandang	di pandang
melanggar	men langgar
pilihan	pilih an
sesama	se sama
vulkanik	vulkanik
gelang	gelang
tamu	tamu
menikahkan	men nikah kan
harinya	hari nya
menggandakannya	men ganda kan nya
leher	leher
menggendong	men gendong
melawannya	men lawan nya
stadion	stadion
ketidaksiapan	ke tidak siap an
mentransfer	men transfer
berwenang	ber wenang
inisial	inisial
langkanya	langka nya
sawah	sawah
sokongan	sokong an
pers	pers
membelanjakannya	men belanja kan nya
taat	taat
ditempuhnya	di tempuh nya
lawan	lawan
komentarnya	komentar nya
diprotes	di protes
memperlihatkan	men lihat kan
menakutkan	men takut kan
mengajarkan	men ajar kan
angsuran	angsur an
adidaya	adidaya
saraf	saraf
emosional	emosional
kemungkinannya	kemungkinan nya
lokasi	lokasi
penyembuhan	pen sembuh an
dibayarkan	di bayar kan
dikuatkan	di kuat kan
kuatir	kuatir
menjamu	men jamu
ikutan	ikut an
rusak	rusak
disuapi	di suap i
berbau	ber bau
bekerja	bekerja
rambutan	rambut an
memandu	men pandu
mengoleksi	men koleksi
memacu	men pacu
kompromi	kompromi
dijabat	di jabat
ungkapan	ungkap an
mempunyai	men punya i
lantunan	lantun an
persiapannya	per siap an nya
mengetuai	men ketua i
diberatkan	di berat kan
dilingkupi	di lingkup i
wirausaha	wirausaha
biasa	biasa
berawalan	ber awal an
budaya	budaya
pedoman	pedoman
berbasis	ber basis
tatapan	tatap an
wujud	wujud
enak	enak
persediaan	per sedia an
diterbangkan	di terbang kan
dijemput	di jemput
toko	toko
rumah	rumah
keriput	keriput
terbelah	ter belah
tajam	tajam
memindahkan	men pindah kan
bernada	ber nada
waspada	waspada
tergolong	ter golong
hasilnya	hasil nya
pencukur	pen cukur
tongkat	tongkat
peminatnya	pen minat nya
penyiapan	pen siap an
karib	karib
gelora	gelora
adu	adu
dilengkapi	di lengkap i
menggoyang	men goyang
tontonan	tonton an
penyadaran	pen sadar an
timbang	timbang
gosip	gosip
asistennya	asisten nya
memancar	men pancar
disapa	di sapa
tanggungan	tanggung an
menggelar	men gelar
desanya	desa nya
diburu	di buru
bayangkan	bayang kan
penyimpanan	pen simpan an
industri	industri
disangga	di sangga
meringankan	men ringan kan
menyanyi	men nyanyi
tebal	tebal
berpakaian	ber pakai an
kuku	kuku
penganyam	pen anyam
bergulat	ber gulat
putra	putra
diverifikasinya	di verifikasi nya
nun	nun
minta	minta
merekonstruksi	men rekonstruksi
mustahil	mustahil
kurasa	ku rasa
jawabannya	jawab an nya
menteri	menteri
bersandar	ber sandar
pengeluaran	pen keluar an
lipat	lipat
aneh	aneh
manja	manja
mengangkut	men angkut
papan	papan
terbilang	ter bilang
terkuras	ter kuras
pencair	pen cair
berlibur	ber libur
memasukkan	men masuk kan
dikerjasamakan	di kerjasama kan
melobi	men lobi
tempatmu	tempat mu
terpisah	ter pisah
terhambat	ter hambat
menganggap	men anggap
pengangkut	pen angkut
rambutmu	rambut mu
memeliharamu	men pelihara mu
jantung	jantung
peluru	peluru
tuna	tuna
diraihnya	di raih nya
antarkota	antar kota
seiman	se iman
patung	patung
basis	basis
irigasinya	irigasi nya
ucapkan	ucap kan
sekeliling	se keliling
pesanannya	pesan an nya
perjuangan	per juang an
keinginanmu	ke ingin an mu
penabung	pen tabung
ujar	ujar
merebak	men rebak
menganggapnya	men anggap nya
atom	atom
pertengkaran	per tengkar an
berjajar	ber jajar
mini	min i
menganugerahkan	men anugerah kan
terbunuh	ter bunuh
zaitun	zaitun
transformasi	transformasi
ikuti	ikut i
terbayangkan	ter bayang kan
kenangan	kenang an
indikasinya	indikasi nya
sepesawat	se pesawat
ditebus	di tebus
walikota	walikota
berpegangan	ber pegang an
bersasaran	ber sasar an
mengejutkannya	men kejut kan nya
tundukkan	tunduk kan
memukulnya	men pukul nya
merantai	men rantai
aman	aman
bergiliran	ber gilir an
terjangkaunya	ter jangkau nya
perkataannya	per kata an nya
mainkan	main kan
melayu	melayu
dituntut	di tuntut
jati	jati
ditimbulkan	di timbul kan
berhubungan	ber hubung an
perkumpulan	per kumpul an
berkampanye	ber kampanye
ketatnya	ketat nya
dimakannya	di makan nya
bata	bata
bergengsi	ber gengsi
radiasi	radiasi
pendiri	pen diri
terhubungi	ter hubung i
berharganya	ber harga nya
amerika	amerika
diakibatkan	di akibat kan
penyuluh	pen suluh
mitra	mitra
gantung	gantung
diancam	di ancam
perserikatan	per serikat an
dipukuli	di pukul i
dianggap	di anggap
mempercayai	men percaya i
kuman	kuman
meratapinya	men ratap i nya
terkelompok	ter kelompok
pencemaran	pen cemar an
dilumpuhkan	di lumpuh kan
nasional	nasional
percetakan	per cetak an
kartu	kartu
menaruhnya	men taruh nya
selaras	selaras
menghina	men hina
disiplin	disiplin
merampok	men rampok
pengungsian	pen ungsi an
antarpulau	antar pulau
bersedih	ber sedih
tantangan	tantang an
turunnya	turun nya
juruselamatku	juruselamat ku
malapetaka	malapetaka
diajak	di ajak
laut	laut
pemusnahan	pen musnah an
pengungkapan	pen ungkap an
dicuri	di curi
dipetik	di petik
perkotaan	per kota an
mempesona	men pesona
ritel	ritel
pengelolaannya	pen kelola an nya
ditiru	di tiru
berlawanan	ber lawan an
berdebar	ber debar
diminta	di minta
orangtuanya	orangtua nya
motivasi	motivasi
bertransaksi	ber transaksi
meratifikasi	men ratifikasi
bertambahnya	ber tambah nya
mengejarnya	men kejar nya
bergantung	ber gantung
menggerus	men gerus
logis	logis
seporsi	se porsi
piringan	piring an
topi	top i
membenarkan	men benar kan
memecat	men pecat
legenda	legenda
simpang	simpang
mekanis	mekanis
rata	rata
menyadari	men sadar i
negosiasi	negosiasi
paman	paman
mengkompromikan	men kompromi kan
berduka	ber duka
menonjolkan	men tonjol kan
membanjiri	men banjir i
anjloknya	anjlok nya
kelopak	kelopak
mentargetkan	men target kan
dominan	dominan
berlebihan	ber lebih an
mengintegrasikan	men integrasi kan
pahatan	pahat an
langganan	langgan an
perbincangan	per bincang an
ranjang	ranjang
otonomi	otonomi
memutar	men putar
tersimpan	ter simpan
minum	minum
tuanmu	tuan mu
prasarana	prasarana
menginvestasikannya	men investasi kan nya
berkonsultasi	ber konsultasi
coklat	coklat
memikat	men pikat
pedagang	pedagang
potong	potong
dimiliki	di milik i
jenis	jenis
ditransaksikan	di transaksi kan
moto	moto
mengharapkannya	men harap kan nya
kejam	kejam
membacanya	men baca nya
keran	keran
juruselamatnya	juruselamat nya
belakangnya	belakang nya
menyatakan	men nyata kan
dikatakan	di kata kan
perekrutan	pen rekrut an
kasusnya	kasus nya
terbang	terbang
mendapatkan	men dapat kan
jalur	jalur
termahal	ter mahal
merubuhkan	men rubuh kan
variabel	variabel
ditanya	di tanya
purbakala	purbakala
membawanya	men bawa nya
menggagas	men gagas
dikutip	di kutip
pengantarnya	pen antar nya
penjajahan	pen jajah an
pengaturannya	pen atur an nya
menepis	men tepis
ketidaklengkapan	ke tidak lengkap an
penyelesai	pen selesai
dipilah	di pilah
meriamnya	meriam nya
sepeda	sepeda
pohonnya	pohon nya
ambisius	ambisius
encer	encer
ciuman	cium an
bertetangga	ber tetangga
as	as
disimpan	di simpan
kakiku	kaki ku
diktenya	dikte nya
memutuskan	men putus kan
bukunya	buku nya
mengontak	men kontak
menyelam	men selam
diestimasi	di estimasi
dimaksudkan	di maksud kan
februari	februari
bermartabat	ber martabat
gempa	gempa
perikanannya	per ikan an nya
postingan	posting an
menggantikan	men ganti kan
suriah	suriah
menagih	men tagih
meletus	men letus
tuamu	tua mu
bergaul	ber gaul
menghubunginya	men hubung i nya
sensitif	sensitif
buatan	buat an
terbaca	ter baca
catatan	catat an
dokumenter	dokumenter
dakwaan	dakwa an
serendah	se rendah
pembantaian	pen bantai an
budayanya	budaya nya
menghujat	men hujat
memverifikasi	men verifikasi
prakarsa	prakarsa
komplain	komplain
residual	residual
sibuk	sibuk
menyesuaikan	men sesuai kan
penalarannya	pen nalar an nya
tertolak	ter tolak
didialogkan	di dialog kan
optimis	optimis
bermasyarakat	ber masyarakat
berkarat	ber karat
berdialog	ber dialog
sayur	sayur
halus	halus
dihapus	di hapus
marinir	marinir
hadapi	hadap i
merangsang	men rangsang
diwujudkan	di wujud kan
penampungan	pen tampung an
berbisnis	ber bisnis
kuingin	ku ingin
berdasarkan	ber dasar kan
rangkuman	rangkum an
restoran	restoran
indeks	indeks
kandungannya	kandung an nya
persemaian	per semai an
perdagangan	per dagang an
melanggengkannya	men langgeng kan nya
ibarat	ibarat
dihormati	di hormat i
berutang	ber utang
penyangga	pen sangga
mengerahkan	men kerah kan
penyucian	pen suci an
