sepedanya	sepeda nya
didiskusikan	di diskusi kan
skala	skala
tayangan	tayang an
kipas	kipas
lemaknya	lemak nya
memperhitungkan	men hitung kan
terlontar	ter lontar
munafik	munafik
potensialnya	potensial nya
belanja	belanja
menyelenggarakannya	men selenggara kan nya
penderitaannya	pen derita an nya
berbagi	ber bagi
prospek	prospek
bisnisnya	bisnis nya
memberantas	men berantas
diperiksa	di periksa
mulutnya	mulut nya
tercurah	ter curah
ditabungkan	di tabung kan
substansi	substansi
tertindas	ter tindas
diembankan	di emban kan
kabul	kabul
menghiraukan	men hirau kan
membuangnya	men buang nya
bertengger	bertengger
pendaratan	pen darat an
lilin	lilin
keran	keran
menerangkan	men terang kan
antarkepala	antar kepala
subkontrak	subkontrak
jawabnya	jawab nya
tuannya	tuan nya
menuangkan	men tuang kan
pembersihan	pen bersih an
berderit	ber derit
pasal	pasal
lumpur	lumpur
kelelawar	kelelawar
negarawan	negara wan
tertutupi	ter tutup i
kuantitas	kuantitas
sidik	sidik
panci	panci
juli	juli
tulangku	tulang ku
membajak	men bajak
dibimbing	di bimbing
nenek	nenek
stres	stres
teladanku	teladan ku
menghalau	men halau
sangsi	sangsi
tersisihkan	ter sisih kan
menjajaki	men jajak i
menyuburkan	men subur kan
operasinya	operasi nya
penutupan	pen tutup an
khususnya	khusus nya
aktifitasnya	aktifitas nya
tersebar	ter sebar
pemusik	pen musik
pengawas	pen awas
pandangannya	pandang an nya
ditusuk	di tusuk
bertujuan	ber tuju an
komisi	komisi
sangka	sangka
berandil	ber andil
memaparkan	men papar kan
menggolongkan	men golong kan
sebijaksana	se bijaksana
balai	bala i
terusir	ter usir
mengabaikannya	men abai kan nya
menancapkan	men tancap kan
damaskus	damaskus
mekanisme	mekanisme
seks	seks
didekatnya	di dekat nya
kompleks	kompleks
dikepalai	di kepala i
pendalaman	pen dalam an
pembantu	pen bantu
tercakup	ter cakup
direkonstruksi	di rekonstruksi
menyeret	men seret
jeratan	jerat an
dihubungkan	di hubung kan
pikul	pikul
putri	putri
dipanen	di panen
diulang	di ulang
kondisinya	kondisi nya
penghambat	pen hambat
tewas	tewas
lagu	lagu
berjanji	ber janji
tuntut	tuntut
santai	santai
sesuatunya	sesuatu nya
paruh	paruh
melangkah	men langkah
bersaing	ber saing
harapannya	harap an nya
disibukkan	di sibuk kan
pahlawan	pahlawan
kisarannya	kisar an nya
kertas	kertas
mengisyaratkan	men isyarat kan
berpemerintahan	ber pen perintah an
diteladankan	di teladan kan
berminat	ber minat
kumpulan	kumpul an
menganalisis	men analisis
diolah	di olah
islami	islam i
dianggapnya	di anggap nya
puja	puja
cairan	cair an
pemilih	pen pilih
administratif	administratif
memujikan	men puji kan
implikasinya	implikasi nya
dicurangi	di curang i
menunjukkan	men tunjuk kan
disadarkan	di sadar kan
kenaikan	ke naik an
hancur	hancur
indonesia	indonesia
penyediaan	pen sedia an
indera	indera
meratapinya	men ratap i nya
kesudahan	ke sudah an
diseberangi	di seberang i
katak	katak
inspirasi	inspirasi
mewujudkan	men wujud kan
luang	luang
cina	cina
didalamnya	di dalam nya
menyengsarakan	men sengsara kan
kelanjutan	ke lanjut an
sebesar	se besar
mahkamah	mahkamah
penyerangan	pen serang an
goyah	goyah
matematikanya	matematika nya
pemegang	pen pegang
berkoordinasi	ber koordinasi
diaplikasikan	di aplikasi kan
peminjam	pen pinjam
publikasi	publikasi
berteguh	ber teguh
indikasinya	indikasi nya
kosmetik	kosmetik
antariksa	antariksa
grosir	grosir
pertalian	per tali an
disebutkan	di sebut kan
penyuling	pen suling
berimplikasi	ber implikasi
pendukungnya	pen dukung nya
dilemparkan	di lempar kan
mengundurkan	men undur kan
penganyam	pen anyam
penjamin	pen jamin
dilabuhkan	di labuh kan
jemput	jemput
pengelolaannya	pen kelola an nya
slogan	slogan
sejawat	se jawat
lanjutan	lanjut an
merenovasi	men renovasi
rp	rp
alfabet	alfabet
dianiaya	di aniaya
potret	potret
meluas	men luas
kunjungan	kunjung an
mandatnya	mandat nya
jemaatnya	jemaat nya
pencemaran	pen cemar an
intensi	intens i
gembira	gembira
bobroknya	bobrok nya
membekukan	men beku kan
penghasil	pen hasil
zaman	zaman
membuktikannya	men bukti kan nya
mengikrarkan	men ikrar kan
tektonik	tektonik
menunjang	men tunjang
menyerahkannya	men serah kan nya
kulalui	ku lalu i
lengkapnya	lengkap nya
lampu	lampu
puskesmas	puskesmas
memasukinya	men masuk i nya
menandingi	men tanding i
bimbang	bimbang
menyentuh	men sentuh
rekannya	rekan nya
memperkenankan	men kenan kan
pertimbangannya	per timbang an nya
memuliakan	men mulia kan
tebus	tebus
hewan	hewan
gelombang	gelombang
pesona	pesona
capaiannya	capai an nya
berakar	ber akar
timah	timah
bertekun	ber tekun
ada	ada
anut	anut
menggantikan	men ganti kan
baik	baik
pendatang	pen datang
perhitungannya	per hitung an nya
sucikan	suci kan
melatarbelakangi	men latarbelakang i
peraturannya	per atur an nya
bangga	bangga
menggulingkan	men guling kan
ayahmu	ayah mu
fokus	fokus
teriknya	terik nya
kelompoknya	kelompok nya
kecewa	kecewa
pekerja	pekerja
dekatnya	dekat nya
mengairi	men air i
dibakukan	di baku kan
perkaretan	per karet an
bahkan	bah kan
tersirat	ter sirat
diukur	di ukur
reputasi	reputasi
dicari	di cari
terwakili	ter wakil i
memasuki	men masuk i
tetes	tetes
sulaman	sulam an
berjumpa	ber jumpa
indeks	indeks
diserahkannya	di serah kan nya
kecolongan	kecolongan
bergulat	ber gulat
memindahkan	men pindah kan
kelahirannya	ke lahir an nya
anehnya	aneh nya
menyetujuinya	men setuju i nya
napasnya	napas nya
pesta	pesta
mengutus	men utus
tenang	tenang
berkawan	ber kawan
standarisasi	standarisasi
jenis	jenis
mendongkrak	men dongkrak
prancis	prancis
renang	renang
tertutup	ter tutup
perluasan	per luas an
perintah	perintah
tanganmu	tangan mu
menangnya	menang nya
kafein	kafein
menabrak	men tabrak
intensif	intensif
prajurit	prajurit
menyapu	men sapu
mengeksploitasi	men eksploitasi
perwakilannya	per wakil an nya
volume	volume
terindah	ter indah
protokol	protokol
terkena	ter kena
kondusif	kondusif
berdosa	ber dosa
disiapkannya	di siap kan nya
dianalisis	di analisis
ditumpuk	di tumpuk
depresiasi	depresiasi
diinspirasikan	di inspirasi kan
penyalurannya	pen salur an nya
tertib	tertib
pencerahan	pen cerah an
diprovokasi	di provokasi
didorong	di dorong
akunting	akunting
jam	jam
pindah	pindah
pembakaran	pen bakar an
beralih	ber alih
orientasi	orientasi
radiasi	radiasi
sepakbola	sepakbola
enumerasinya	enumerasi nya
produksi	produksi
bangsawan	bangsa wan
dikaruniakan	di karunia kan
membayangi	men bayang i
jenisnya	jenis nya
menyeluruh	menyeluruh
diintegrasikan	di integrasi kan
riil	riil
menandatangani	men tandatangan i
berkekuatan	ber ke kuat an
diibaratkan	di ibarat kan
dilansir	di lansir
terendah	ter rendah
pembekuan	pen beku an
murka	murka
darussalam	darussalam
dibahas	di bahas
juni	juni
pengulangan	pen ulang an
pangkat	pangkat
pergaulan	per gaul an
memburuk	men buruk
jawaban	jawab an
tajamnya	tajam nya
dibayangkan	di bayang kan
proyek	proyek
timbang	timbang
berkomunikasi	ber komunikasi
stempelnya	stempel nya
demonstrasi	demonstrasi
lontarkan	lontar kan
tergabung	ter gabung
penelitian	pen teliti an
ditemani	di teman i
jatuhkan	jatuh kan
eropa	eropa
pelanggaran	pen langgar an
antagonis	antagonis
dukunnya	dukun nya
rawat	rawat
mengamanatkan	men amanat kan
cercaan	cerca an
pencari	pen cari
masa	masa
nonpungutan	non pungut an
sampel	sampel
pertanahan	per tanah an
teralih	ter alih
wanita	wanita
memenuhinya	men penuh i nya
mekanismenya	mekanisme nya
berlalunya	ber lalu nya
sutradara	sutradara
perumusan	pen rumus an
pemanfaatnya	pen manfaat nya
kimiawi	kimiawi
selai	sela i
ungkap	ungkap
pelayaran	pen layar an
tengahnya	tengah nya
melambung	men lambung
memformatnya	men format nya
menyatu	men satu
inisiatif	inisiatif
diperlebar	di per lebar
trendi	trend i
terbangun	ter bangun
bakan	bak an
maknanya	makna nya
menyiangi	men siang i
mulanya	mula nya
dihapus	di hapus
berada	ber ada
merampok	men rampok
antarpeserta	antar peserta
tertimpa	ter timpa
percekcokan	per cekcok an
usianya	usia nya
pemangku	pen pangku
berkebalikan	ber ke balik an
parah	parah
dimata	di mata
berumput	ber rumput
konstitusional	konstitusional
menjanjikan	men janji kan
penandatangan	pen tandatangan
kutub	kutub
kombinasi	kombinasi
siswanya	siswa nya
mengurangi	men kurang i
ditanam	di tanam
menantu	menantu
berselang	ber selang
perekonomian	per ekonomi an
mainnya	main nya
bongkar	bongkar
dilewati	di lewat i
membawahi	men bawah i
diumpankan	di umpan kan
didominasi	di dominasi
jarahan	jarah an
dokumen	dokumen
pemuridan	pen murid an
renangnya	renang nya
keliling	keliling
ditaklukkan	di takluk kan
pemasyarakatan	pen masyarakat an
memveto	men veto
saudaramu	saudara mu
letaknya	letak nya
terjaga	ter jaga
penjaja	pen jaja
gelapnya	gelap nya
pegawai	pegawai
motivasinya	motivasi nya
penertiban	pen tertib an
memaksakan	men paksa kan
terpangkas	ter pangkas
insinyur	insinyur
memilih	men pilih
karakter	karakteri
berskala	ber skala
urut	urut
keturunanmu	ke turun an mu
perhatian	per hati an
kutanggung	ku tanggung
kasihi	kasih i
gerai	gerai
memudahkan	men mudah kan
kata	kata
pinggir	pinggir
timur	timur
cobakan	coba kan
uang	uang
lantainya	lantai nya
pelayanan	pen layan an
menyebar	men sebar
direpotkan	di repot kan
beranggaran	ber anggar an
sekadar	se kadar
diminta	di minta
kasusnya	kasus nya
penyerbuan	pen serbu an
hasratnya	hasrat nya
dibuka	di buka
bilang	bilang
budak	budak
kamera	kamera
dipajang	di pajang
janggal	janggal
berbahasa	ber bahasa
menyedihkannya	men sedih kan nya
musyawarah	musyawarah
hormati	hormat i
didaftarkan	di daftar kan
punyai	punya i
gemilang	gemilang
penasehat	pen nasehat
modern	modern
langkahku	langkah ku
landas	landas
coraknya	corak nya
mesra	mesra
patung	patung
menjawab	men jawab
pendayagunaan	pen dayaguna an
tertatanya	ter tata nya
natalnya	natal nya
kiosnya	kios nya
berbelok	ber belok
terasing	ter asing
satker	satker
penangkapan	pen tangkap an
mengejutkannya	men kejut kan nya
satuan	satu an
dilanggar	di langgar
insya	insya
menurun	men turun
menyembur	men sembur
rajin	rajin
badannya	badan nya
diurutkan	di urut kan
mengikuti	men ikut i
pengantar	pen antar
perangkat	perangkat
dicanangkan	di canang kan
kehadirannya	ke hadir an nya
seutuhnya	se utuh nya
tikus	tikus
berpenumpang	ber pen tumpang
perguliran	per gulir an
gerutu	gerutu
rohani	rohani
perbanyakan	per banyak an
seimannya	se iman nya
pengintegrasian	pen integrasi an
penjudi	pen judi
medalinya	medali nya
mantap	mantap
menghabiskan	men habis kan
dikekang	di kekang
warga	warga
menabur	men tabur
kakeknya	kakek nya
infeksi	infeksi
istilah	istilah
menggumamkan	men gumam kan
menunjukkannya	men tunjuk kan nya
nonsaham	non saham
balik	balik
diketahui	di ketahui
operasionalnya	operasional nya
menapaki	men tapak i
mempertaruhkan	men taruh kan
interiornya	interior nya
permohonan	per mohon an
mengangkatnya	men angkat nya
keinginanmu	ke ingin an mu
jadwal	jadwal
memagari	men pagar i
pinang	pinang
terjadi	ter jadi
kena	kena
mencocokkannya	men cocok kan nya
dipesan	di pesan
ketidaklengkapan	ke tidak lengkap an
buta	buta
sarang	sarang
pertokoan	per toko an
diubah	di ubah
jumlahnya	jumlah nya
fitur	fitur
diratifikasi	di ratifikasi
memerintah	men perintah
menuntutnya	men tuntut nya
kejadian	ke jadi an
guru	guru
perbuatannya	per buat an nya
menepis	men tepis
menuliskannya	men tulis kan nya
sesuatu	sesuatu
berkhotbah	ber khotbah
penyumbang	pen sumbang
rapi	rapi
diperdagangkan	di per dagang kan
bergilir	ber gilir
nonkonsumsi	non konsumsi
ruang	ruang
mengokohkan	men kokoh kan
menggunakan	men guna kan
merendahkan	men rendah kan
gadis	gadis
mencarinya	men cari nya
dilingkupi	di lingkup i
mahasiswa	mahasiswa
menghindari	men hindar i
hambaku	hamba aku
menguatkannya	men kuat kan nya
penuaan	pen tua an
pencanangan	pen canang an
sengketa	sengketa
dicetuskan	di cetus kan
hubungan	hubung an
membelah	men belah
bajaknya	bajak nya
mencuri	men curi
duduk	duduk
diikutsertakannya	di ikutserta kan nya
letusannya	letus an nya
penolongku	pen tolong ku
camat	camat
terpola	ter pola
obsesi	obsesi
memperkuat	men kuat
legal	legal
keheranan	ke heran an
sekawasan	se kawasan
ketidakpuasannya	ke tidak puas an nya
menentang	men tentang
vonis	vonis
asumsi	asumsi
pengampunan	pen ampun an
berbiaya	ber biaya
meriamnya	meriam nya
berpendapatan	ber pen dapat an
doa	doa
penggilingan	pen giling an
tenis	tenis
ajukan	aju kan
memproduksi	men produksi
pabrikan	pabrik an
didistribusikan	di distribusi kan
pembiusan	pen bius an
senada	se nada
bahasa	bahasa
eksportir	eksportir
direkrutnya	di rekrut nya
inovasi	inovasi
melihatnya	men lihat nya
menetes	men tetes
diformulasikan	di formulasi kan
antarpemerintah	antar pen perintah
persekutuannya	per sekutu an nya
pemasarannya	pen pasar an nya
diestimasi	di estimasi
memboikotnya	men boikot nya
berpendapat	ber pen dapat
diupayakan	di upaya kan
retribusi	retribusi
menikahkan	men nikah kan
sedetik	se detik
gratis	gratis
menkeu	menkeu
dihindarinya	di hindar i nya
fitnah	fitnah
kuartal	kuartal
pencinta	pen cinta
diterus	di terus
menjengkelkan	men jengkel kan
gemar	gemar
mekaniknya	mekanik nya
planet	planet
hektare	hektare
mencapainya	men capai nya
fungsinya	fungsi nya
bermotor	ber motor
perceraian	per cerai an
bercukur	ber cukur
pengusung	pen usung
asi	as i
pedang	pedang
suksesi	sukses i
harun	harun
laporkan	lapor kan
dikenali	di kenal i
eksekusinya	eksekusi nya
sajian	saji an
akhir	akhir
terik	terik
konseling	konseling
betul	betul
dikejar	di kejar
habis	habis
peneguhan	pen teguh an
tembak	tembak
sarapan	sarapan
menjawabnya	men jawab nya
putraku	putra aku
penangkap	pen tangkap
bertenun	ber tenun
disaat	di saat
penggunanya	pen guna nya
bersembunyi	ber sembunyi
perkantoran	per kantor an
dibabat	di babat
memproduksinya	men produksi nya
melobi	men lobi
melaksanakannya	men laksana kan nya
telur	telur
menyaksikannya	men saksi kan nya
menggarap	men garap
penggarap	pen garap
menuliskan	men tulis kan
dokter	dokter
ditontonnya	di tonton nya
dijumlahkan	di jumlah kan
sinar	sinar
diambilnya	di ambil nya
berfungsi	ber fungsi
muda	muda
internet	internet
terkungkung	ter kungkung
menghubunginya	men hubung i nya
ditargetkan	di target kan
pesawatnya	pesawat nya
pembuatan	pen buat an
menghadapinya	men hadap i nya
tampilkan	tampil kan
diambang	di ambang
kompromi	kompromi
reformasi	reformasi
terinspirasi	ter inspirasi
didapat	di dapat
bising	bising
kalah	kalah
gelandang	gelandang
antikekerasan	anti ke keras an
luangkan	luang kan
menganggapnya	men anggap nya
dirham	dirham
pancing	pancing
laba	laba
sekarat	se karat
diakuinya	di aku i nya
merusak	men rusak
mengontrak	men kontrak
reaksinya	reaksi nya
diragukan	di ragu kan
dipermainkan	di per main kan
dibina	di bina
tentaranya	tentara nya
mencintaiku	men cinta i ku
pemukiman	pen mukim an
kebakaran	ke bakar an
terekam	ter rekam
kendaraannya	kendara an nya
menyertifikasi	men sertifikasi
ikutan	ikut an
sibuknya	sibuk nya
presentasi	presentasi
gamblang	gamblang
menyamarkannya	men samar kan nya
kuhadapi	ku hadap i
membanjirnya	men banjir nya
melupakanku	men lupa kan ku
bekasi	bekas i
karbon	karbon
mengukuhkan	men kukuh kan
pergelangan	per gelang an
dinasnya	dinas nya
ditempuhnya	di tempuh nya
pemeliharaan	pen pelihara an
perwakilan	per wakil an
persnelingnya	persneling nya
dirahasiakan	di rahasia kan
menuding	men tuding
memukulnya	men pukul nya
payah	payah
antarindustri	antar industri
pengajuan	pen aju an
saleh	saleh
cangkir	cangkir
diternakkan	di ternak kan
sehat	sehat
jadi	jadi
santunku	santun ku
terparah	ter parah
dirobohkan	di roboh kan
penerbitan	pen terbit an
distribusi	distribusi
melemparkannya	men lempar kan nya
terkandung	ter kandung
periode	periode
punya	punya
pihak	pihak
pelatih	pen latih
tipu	tipu
memerlukan	men perlu kan
media	media
nasionalnya	nasional nya
wakili	wakil i
dilibatkannya	di libat kan nya
pengalih	pen alih
dirumuskan	di rumus kan
setapak	se tapak
bersamaku	ber sama aku
halus	halus
koper	koper
pewawancara	pen wawancara
diakibatkan	di akibat kan
besoknya	besok nya
diagnosanya	nyagnosa nya
diawali	di awal i
pengejaran	pen kejar an
gitarnya	gitar nya
dimusyawarahkan	di musyawarah kan
pemerintahan	pen perintah an
dikompromikan	di kompromi kan
dewasa	dewasa
absen	absen
ketidaksepakatan	ke tidak sepakat an
perawatan	pen rawat an
kumpulkan	kumpul kan
pukulan	pukul an
budaknya	budak nya
hebatnya	hebat nya
pengembalian	pen kembali an
timahnya	timah nya
terowongan	terowongan
menamainya	men nama i nya
akuisisi	akuisisi
bertahan	ber tahan
vakum	vakum
terealisasi	ter realisasi
perhiasan	per hias an
apik	apik
distrik	distrik
ketidaksanggupan	ke tidak sanggup an
dikenang	di kenang
menyoroti	men sorot i
dipaksakan	di paksa kan
mempersulit	men sulit
mengimani	men iman i
menyaingi	men saing i
berpaut	ber paut
data	data
amatir	amatir
antarkeluarga	antar keluarga
pembelanjaan	pen belanja an
bungkusnya	bungkus nya
perjuangan	per juang an
sepatunya	sepatu nya
nota	nota
tampak	tampak
pendirian	pen diri an
memisahkan	men pisah kan
terkubur	ter kubur
penjahitan	pen jahit an
tertundanya	ter tunda nya
penebusan	pen tebus an
diredakan	di reda kan
diputus	di putus
seikhlasnya	se ikhlas nya
kalkulasi	kalkulasi
matiku	mati ku
tersiar	ter siar
mengakibatkan	men akibat kan
enaknya	enak nya
merenggut	men renggut
seseorang	seseorang
menggoncangkan	men goncang kan
dagingku	daging ku
pendokumentasian	pen dokumentasi an
dugaan	duga an
mengedit	men edit
penjala	pen jala
mendaratkannya	men darat kan nya
jarangnya	jarang nya
tersempit	ter sempit
menanggungnya	men tanggung nya
mengakali	men akal i
dipeluk	di peluk
digaji	di gaji
dianutnya	di anut nya
genggaman	genggam an
modul	modul
area	area
tuduhan	tuduh an
berkorban	ber korban
memakai	men pakai
peduli	peduli
terbunuhnya	ter bunuh nya
frekuensi	frekuensi
peri	pen ri
skemanya	skema nya
penggerak	pen gerak
mendesak	men desak
lantai	lantai
panen	panen
manipulasi	manipulasi
ramah	ramah
meja	meja
aktif	aktif
dihapuskannya	di hapus kan nya
merangkap	men rangkap
tenar	tenar
bijih	bijih
sampelnya	sampel nya
astronot	astronot
sekerja	se kerja
mentransformasikan	men transformasi kan
antarkomoditas	antar komoditas
murah	murah
konstitusi	konstitusi
kaku	kaku
kudengar	ku dengar
meresahkan	men resah kan
ulangan	ulang an
kalkun	kalkun
penggalangan	pen galang an
ternama	ter nama
menuntaskan	men tuntas kan
melengkapinya	men lengkap i nya
seraya	se raya
separah	se parah
pendidikan	pen didik an
seriusnya	serius nya
mengirimi	men kirim i
mengumandangkan	men kumandang kan
membidik	men bidik
penolakan	pen tolak an
berderet	ber deret
membebaskannya	men bebas kan nya
spesifik	spesifik
etnik	etnik
mainanmu	main an mu
judul	judul
selaras	selaras
kuponnya	kupon nya
bakatnya	bakat nya
menewaskan	men tewas kan
pakaiannya	pakai an nya
cemar	cemar
ditopang	di topang
dipergunakan	di per guna kan
membatu	men batu
tewasnya	tewas nya
melonjaknya	men lonjak nya
membaik	men baik
pengurusan	pen urus an
diselamatkannya	di selamat kan nya
dibutakan	di buta kan
berkemampuan	ber ke mampu an
pasangannya	pasang an nya
nyaris	nyaris
batasan	batas an
penyiapan	pen siap an
bunyinya	bunyi nya
memperdulikan	men perduli kan
penghujatan	pen hujat an
mendiskusikannya	men diskusi kan nya
pesanan	pesan an
kotamadya	kotamadya
mendengarnya	men dengar nya
naikkan	naik kan
klub	klub
tercabut	ter cabut
setia	setia
konservasi	konservasi
jajak	jajak
penghancur	pen hancur
rezim	rezim
irigasi	irigasi
terletak	ter letak
menggelar	men gelar
letusan	letus an
terompetnya	terompet nya
tersulut	ter sulut
tidurku	tidur ku
pengerasan	pen keras an
berkesudahan	ber ke sudah an
penghiburan	pen hibur an
krisis	krisis
antri	antri
dilatih	di latih
berjaga	ber jaga
hal	hal
penggusuran	pen gusur an
benar	benar
mengajaknya	men ajak nya
mewarnai	men warna i
persahabatan	per sahabat an
mengasah	men asah
seteguh	se teguh
sulut	sulut
beranggotakan	ber anggota kan
menghilang	men hilang
diwakili	di wakil i
berorientasi	ber orientasi
armada	armada
pilih	pilih
tersandung	ter sandung
realisasinya	realisasi nya
pegawainya	pegawai nya
lokali	lokal i
pengguliran	pen gulir an
penyeleksian	pen seleksi an
seprovinsi	se provinsi
mengetahuinya	men ketahui nya
pandu	pandu
komunitasnya	komunitas nya
tercium	ter cium
paruhnya	paruh nya
seefektif	se efektif
keju	keju
pelik	pelik
mengetuai	men ketua i
simak	simak
disuapi	di suap i
prospeknya	prospek nya
pengidentifikasian	pen identifikasi an
atraksi	atraksi
allahmu	allah mu
menggosok	men gosok
sesama	se sama
selebihnya	se lebih nya
cap	cap
lelah	lelah
disepakati	di sepakat i
hadapi	hadap i
membentuk	men bentuk
berdiam	ber diam
mengagendakan	men agenda kan
telaah	telaah
terkuat	ter kuat
ditangan	di tangan
komunis	komunis
otonominya	otonomi nya
diilhamkan	di ilham kan
pemboman	pen bom an
karat	karat
membunuh	men bunuh
dipecat	di pecat
sekotak	se kotak
statistik	statistik
pengangsuran	pen angsur an
kampanyenya	kampanye nya
memuaskan	men puas kan
spekulasi	spekulasi
berakibat	ber akibat
disusunnya	di susun nya
betina	betina
kompetitif	kompetitif
sempurnanya	sempurna nya
aparatur	aparatur
pemanfaat	pen manfaat
mainan	main an
lukisan	lukis an
doanya	doa nya
rendah	rendah
bimbingan	bimbing an
ikhlas	ikhlas
menipu	men tipu
menilik	men tilik
wilayah	wilayah
koleksinya	koleksi nya
memperkatakan	men kata kan
kerangka	kerangka
serius	serius
dirintis	di rintis
pembunuhan	pen bunuh an
memalsukan	men palsu kan
diatasi	di atas i
rendahan	rendah an
abstrak	abstrak
ketidakikutsertaan	ke tidak ikutserta an
jangkau	jangkau
dicap	di cap
berlangsung	ber langsung
ulama	ulama
nafsu	nafsu
serangga	serangga
kepindahan	ke pindah an
mengangsur	men angsur
berlanjut	ber lanjut
diimplementasikan	di implementasi kan
bersukacita	ber sukacita
maraton	maraton
wisma	wisma
menyedihkan	men sedih kan
bencana	bencana
menakutkan	men takut kan
mengkhawatirkan	men khawatir kan
pedagang	pedagang
panah	panah
meluncurkan	men luncur kan
menyembuhkannya	men sembuh kan nya
tender	tender
memperoleh	men peroleh
aduk	aduk
menerangi	men terang i
hakim	hakim
menghubungkan	men hubung kan
terlewatkan	ter lewat kan
perabotan	perabot an
memanennya	men panen nya
sore	sore
lolos	lolos
pendistribusiannya	pen distribusi an nya
rumahmu	rumah mu
menghilangkan	men hilang kan
ketidakberuntungan	ke tidak beruntung an
cicilan	cicil an
mengajar	men ajar
permata	permata
fiskal	fiskal
bagikan	bagi kan
terucap	ter ucap
dikategorikan	di kategori kan
berwewenang	ber wewenang
berkeinginan	ber ke ingin an
kuperintahkan	ku perintah kan
kemungkinannya	kemungkinan nya
panggil	panggil
sepakat	sepakat
pengrajin	pen rajin
modalnya	modal nya
kedatangan	ke datang an
timbangan	timbang an
lewatkan	lewat kan
genggam	genggam
tepat	tepat
rendahnya	rendah nya
cinta	cinta
disamakan	di sama kan
tampaknya	tampak nya
lazimnya	lazim nya
belenggu	belenggu
mendapat	men dapat
didoakan	di doa kan
proporsinya	proporsi nya
menghadirkan	men hadir kan
mengkhususkan	men khusus kan
mengakomodasikan	men akomodasi kan
diparkir	di parkir
jualan	jual an
saljumu	salju mu
mengubahkan	men ubah kan
ruangan	ruang an
bubar	bubar
pengorbanan	pen korban an
membakar	men bakar
mensyukuri	men syukuri
mengulas	men ulas
pembagi	pen bagi
kupenuhi	ku penuh i
persiapan	per siap an
seadat	se adat
dinding	dinding
mengasuh	men asuh
berkinerja	ber kinerja
menyeragamkan	men seragam kan
berjualan	ber jual an
tuanya	tua nya
konfrontasi	konfrontasi
berdialog	ber dialog
berwilayah	ber wilayah
memasangnya	men pasang nya
gua	gua
posyandu	posyandu
insiden	insiden
terpengaruh	ter pengaruh
dipindahkan	di pindah kan
terbunuh	ter bunuh
tergusur	ter gusur
memperlemah	men lemah
tentunya	tentu nya
berbeban	ber beban
berlokasi	ber lokasi
hitung	hitung
medis	medis
kebangkitan	ke bangkit an
menyelubungi	men selubung i
teragung	ter agung
tabung	tabung
ditentang	di tentang
pergantian	per ganti an
gaya	gaya
antik	antik
agunan	agun an
intelektual	intelektual
mengasihi	men kasih i
rantai	rantai
fasilitasnya	fasilitas nya
berperilaku	ber perilaku
perserikatan	per serikat an
jala	jala
tergolong	ter golong
kesediaannya	ke senya an nya
dimainkan	di main kan
lambatnya	lambat nya
persentasenya	persentase nya
depkeu	depkeu
menunggangi	men tunggang i
simpang	simpang
daerah	daerah
berkreasi	ber kreasi
takut	takut
diketahuinya	di ketahui nya
terakumulasi	ter akumulasi
hapus	hapus
sayur	sayur
pelayananku	pen layan an ku
mengurangkan	men kurang kan
penyetoran	pen setor an
raksasa	raksasa
mewajibkan	men wajib kan
menggemukkannya	men gemuk kan nya
depanmu	depan mu
diperbudak	di per budak
tengah	tengah
individu	individu
rasio	rasio
ditarik	di tarik
menghemat	men hemat
sabun	sabun
penghancuran	pen hancur an
memberatkan	men berat kan
sekretariat	sekretariat
menyebutkan	men sebut kan
york	york
diincar	di incar
dilupakannya	di lupa kan nya
mengirimnya	men kirim nya
janinnya	janin nya
nonaset	non aset
penunggakan	pen tunggak an
menjangkaunya	men jangkau nya
goyangkan	goyang kan
pemindahan	pen pindah an
sertifikat	sertifikat
membutakan	men buta kan
beternak	beternak
penjahat	pen jahat
mempekerjakannya	men pekerja kan nya
kehinaan	ke hina an
disebarluaskan	di sebarluas kan
pendetanya	pendeta nya
bocor	bocor
pengoleksi	pen koleksi
ongkos	ongkos
meluruskannya	men lurus kan nya
minimnya	minim nya
dipikirkan	di pikir kan
bertenaga	ber tenaga
disepelekan	di sepele kan
kapnya	kap nya
gereja	gereja
mengabulkan	men kabul kan
disebutnya	di sebut nya
penampungan	pen tampung an
sinergi	sinergi
pengendalian	pen kendali an
perbatasan	per batas an
mengkoordinasikan	men koordinasi kan
taati	taat i
risikonya	risiko nya
iris	iris
dijabarkan	di jabar kan
mengatakan	men kata kan
dijabat	di jabat
mikroskop	mikroskop
bermigrasi	ber migrasi
peregangan	pen regang an
daerahnya	daerah nya
tercipta	ter cipta
menyusun	men susun
siswa	siswa
hubunganmu	hubung an mu
pelatihan	pen latih an
medisnya	medis nya
dewa	dewa
salehnya	saleh nya
dihadirkan	di hadir kan
kuku	kuku
berpagar	ber pagar
penyiangan	pen siang an
martabat	martabat
wakilnya	wakil nya
mengacaukan	men kacau kan
ditampilkan	di tampil kan
menyemburkan	men sembur kan
menggelikan	men geli kan
jari	jari
tangkai	tangkai
belokan	belok an
ketidaktransparanan	ke tidak transparan an
menunduk	men tunduk
menjajakan	men jaja kan
jelasnya	jelas nya
berperingkat	ber peringkat
jinak	jinak
mencetak	men cetak
semesta	semesta
paginya	pagi nya
dimapankan	di mapan kan
teladan	teladan
mempublikasikannya	men publikasi kan nya
terbayangkan	ter bayang kan
buktinya	bukti nya
pemberontakan	pen berontak an
