nontarif	non tarif
melambangkan	men lambang kan
mendaftarkannya	men daftar kan nya
areal	areal
tobat	tobat
laba	laba
dicanangkannya	di canang kan nya
karibia	karibia
mengkonsolidasikan	men konsolidasi kan
teliti	teliti
keterlibatannya	ke terlibat an nya
santunan	santun an
arti	arti
bakar	bakar
tanganku	tangan ku
ditegur	di tegur
hamparan	hampar an
antarkomoditas	antar komoditas
mundur	mundur
jawabnya	jawab nya
hormati	hormat i
laksana	laksana
urbanisasi	urbanisasi
hikmatnya	hikmat nya
kas	kas
mengkoordinasikan	men koordinasi kan
bersesuaian	ber sesuai an
terkungkung	ter kungkung
filosofi	filosofi
dipertanyakan	di per tanya kan
gelombang	gelombang
dipermainkan	di per main kan
dipetik	di petik
logonya	logo nya
pendayagunaan	pen dayaguna an
batal	batal
jual	jual
irigasinya	irigasi nya
pemiliknya	pen milik nya
bina	bina
diutamakan	di utama kan
berbeda	ber beda
percayanya	percaya nya
pengucapan	pen ucap an
menyikapi	men sikap i
mitranya	mitra nya
berpenghasilan	ber pen hasil an
saksi	saksi
dicoba	di coba
omzetnya	omzet nya
komplek	komplek
jeruknya	jeruk nya
pergunungan	per gunung an
memimpin	men pimpin
tambaknya	tambak nya
kolom	kolom
pertobatan	per tobat an
mengalokasikannya	men alokasi kan nya
segi	segi
layang	layang
ketidakseriusan	ke tidak serius an
menyembunyikan	men sembunyi kan
melemahnya	men lemah nya
pisaunya	pisau nya
reuni	reuni
serius	serius
aplikasi	aplikasi
diperiksa	di periksa
kembalikan	kembali kan
dokumenter	dokumenter
kental	kental
mengidap	men idap
penganyam	pen anyam
paradigma	paradigma
es	es
teraniaya	ter aniaya
menipis	men tipis
logo	logo
bernegosiasi	ber negosiasi
tertinggi	ter tinggi
sana	sana
pelayananku	pen layan an ku
rumor	rumor
indikatornya	indikator nya
jenisnya	jenis nya
ditunjukkan	di tunjuk kan
setia	setia
penembakan	pen tembak an
menyempurnakan	men sempurna kan
auman	aum an
membobol	men bobol
terjangkaunya	ter jangkau nya
kurungan	kurung an
melalui	men lalu i
dicontohkan	di contoh kan
perguruan	per guru an
jatahnya	jatah nya
termiskin	ter miskin
petani	petani
formasi	formasi
mengundurkan	men undur kan
peti	peti
pergulatan	per gulat an
gugat	gugat
diingat	di ingat
pengaruhnya	pengaruh nya
terpolusi	ter polusi
gurun	gurun
paku	paku
membebankan	men beban kan
telaknya	telak nya
ikuti	ikut i
serumit	se rumit
mengasingkan	men asing kan
bertatap	ber tatap
berkompeten	ber kompeten
listriknya	listrik nya
rancu	rancu
janggal	janggal
ditinggalkan	di tinggal kan
dangkal	dangkal
menjagamu	men jaga mu
menggosokkan	men gosok kan
teknologi	teknologi
menerkam	men terkam
mengajukan	men aju kan
karir	karir
galak	galak
sipil	sipil
polisi	polisi
merekomendasi	men rekomendasi
modal	modal
bisikan	bisik an
amarahnya	amarah nya
alamiah	alamiah
babakan	babak an
pernikahannya	per nikah an nya
pelacur	pen lacur
pemasarannya	pen pasar an nya
ketidaksepakatan	ke tidak sepakat an
memancar	men pancar
pesta	pesta
departemen	departemen
pengasingan	pen asing an
seminggu	se minggu
angsa	angsa
ubi	ubi
menjelaskan	men jelas kan
dicontoh	di contoh
preminya	premi nya
kalkun	kalkun
didapati	di dapat i
pengunjung	pen kunjung
sesama	se sama
mayat	mayat
pengusaha	pen usaha
dirampungkan	di rampung kan
terkecil	ter kecil
berlipat	ber lipat
berkat	berkat
kerasukan	ke rasuk an
menggembirakan	men gembira kan
mencerahkan	men cerah kan
anugerahkan	anugerah kan
menyimpan	men simpan
nafsumu	nafsu mu
berduka	ber duka
dihormati	di hormat i
pengoleksi	pen koleksi
aktual	aktual
dideritanya	di derita nya
leganya	lega nya
penyempitan	pen sempit an
peledak	pen ledak
penting	penting
hubungannya	hubung an nya
menganjurkan	men anjur kan
menusuk	men tusuk
jabar	jabar
korelasinya	korelasi nya
lain	lain
tepuk	tepuk
kerjasama	kerjasama
pemantauannya	pen pantau an nya
paksaan	paksa an
memilah	men pilah
cari	cari
gelandang	gelandang
dimampukan	di mampu kan
harian	hari an
dikendorkan	di kendor kan
mengotori	men kotor i
asam	asam
kejar	kejar
mendatanginya	men datang i nya
semudah	se mudah
lindung	lindung
bertugas	ber tugas
penanggungjawab	pen tanggungjawab
aduan	adu an
panel	panel
dikuburkan	di kubur kan
mengatakan	men kata kan
diperburuk	di per buruk
mengucilkan	men kucil kan
tuanmu	tuan mu
diperlebar	di per lebar
terbawa	ter bawa
pendosa	pen dosa
memperkosa	men perkosa
seks	seks
kipas	kipas
menyetujui	men setuju i
identifikasi	identifikasi
teriak	teriak
jadwalnya	jadwal nya
blok	blok
sekolahan	sekolah an
bermitra	ber mitra
membalasnya	men balas nya
bicara	bicara
utusannya	utus an nya
ijon	ijon
nafsu	nafsu
aset	aset
dirahasiakan	di rahasia kan
dicanangkan	di canang kan
anggukan	angguk an
mengulangi	men ulang i
kebangkitan	ke bangkit an
pelayanannya	pen layan an nya
perburuhan	per buruh an
tersebut	ter sebut
tumbuhnya	tumbuh nya
kurangi	kurang i
paksa	paksa
mengasihi	men kasih i
disalurkan	di salur kan
terdorong	ter dorong
tamak	tamak
antusiasme	antusiasme
jarahan	jarah an
tersirat	ter sirat
silakan	silakan
kalori	kalori
lurahnya	lurah nya
detail	detail
evaluasinya	evaluasi nya
ditaburkan	di tabur kan
mengurus	men urus
kawal	kawal
guntingan	gunting an
melimpahnya	men limpah nya
genangan	genang an
ujar	ujar
jenewa	jenewa
peredam	pen redam
memecat	men pecat
penundukan	pen tunduk an
berlimpahnya	ber limpah nya
mengeraskan	men keras kan
antarpengadilan	antar pen adil an
rasio	rasio
meramalkan	men ramal kan
tanda	tanda
kelanjutannya	ke lanjut an nya
lega	lega
salehnya	saleh nya
cermin	cermin
menangnya	menang nya
pedang	pedang
membaca	men baca
naik	naik
hayati	hayat i
kanada	kanada
anemia	anemia
tikus	tikus
melarat	melarat
disiarkan	di siar kan
klorofilnya	klorofil nya
bertanam	ber tanam
gubernurnya	gubernur nya
serangan	serang an
bentrokan	bentrok an
penugasan	pen tugas an
terbelakang	ter belakang
balasan	balas an
persoalannya	per soal an nya
ketidaksesuaian	ke tidak sesuai an
pengorganisasian	pen organisasi an
diprediksi	di prediksi
dikunjungi	di kunjung i
memerdekakan	men merdeka kan
perkataan	per kata an
menyuruh	men suruh
penggajian	pen gaji an
partisipasinya	partisipasi nya
mendaratkannya	men darat kan nya
memasukannya	men pasukan nya
asap	asap
persiapan	per siap an
berbatu	ber batu
khusus	khusus
teramati	ter amati
memedomani	men pedoman i
sidang	sidang
rekapitulasi	rekapitulasi
eksekutif	eksekutif
berawak	ber awak
alkohol	alkohol
mengelompokkannya	men kelompok kan nya
takluk	takluk
berfungsi	ber fungsi
mendistribusi	men distribusi
mencarinya	men cari nya
hadapanku	hadap an ku
pidato	pidato
spontan	spontan
dek	dek
artinya	arti nya
taati	taat i
mendaur	men daur
memudarkan	men pudar kan
bab	bab
wartawan	wartawan
makamnya	makam nya
mengokohkan	men kokoh kan
diskon	diskon
indikasi	indikasi
dramatis	dramatis
memusnahkan	men musnah kan
penyelaras	pen selaras
slogan	slogan
jurnal	jurnal
persawahan	per sawah an
kedatangan	ke datang an
memodifikasi	men modifikasi
terimakasih	terimakasih
terdistribusikan	ter distribusi kan
susu	susu
ditunjuk	di tunjuk
merefleksikan	men refleksi kan
merogoh	men rogoh
menggandakan	men ganda kan
asuhan	asuh an
genggaman	genggam an
direncanakan	di rencana kan
rohaninya	rohani nya
diperberat	di per berat
monitor	monitor
meluap	men luap
wacana	wacana
bubur	bubur
mengukurkan	men ukur kan
sampahnya	sampah nya
menyantuni	men santun i
hektar	hektar
penunggak	pen tunggak
pasal	pasal
penyiapan	pen siap an
penggantiannya	pen ganti an nya
akad	akad
menguraikan	men urai kan
kendalinya	kendali nya
diwajibkan	di wajib kan
berpraktik	ber praktik
luasnya	luas nya
memposisikan	men posisi kan
dermawan	derma wan
mengikut	men ikut
bakteri	bakteri
kasih	kasih
memberontak	men berontak
fondasi	fondasi
stres	stres
selimut	selimut
barangsiapa	barangsiapa
omong	omong
persamaan	per sama an
penjahit	pen jahit
monumen	monumen
lokali	lokal i
penetrasi	penetrasi
menyalurkannya	men salur kan nya
waktuku	waktu ku
tersinggung	ter singgung
profesor	profesor
nomor	nomor
wisata	wisata
hatimu	hati mu
juruselamatku	juruselamat ku
berenang	ber renang
khazanah	khazanah
gelisah	gelisah
antartingkatan	antar tingkat an
semacamnya	se macam nya
penertiban	pen tertib an
langgengnya	langgeng nya
penggorengan	pen goreng an
berhenti	ber henti
berduri	ber duri
menggelitik	men gelitik
pemboman	pen bom an
peroksida	peroksida
menghayati	men hayat i
tempatmu	tempat mu
mencukupinya	men cukup i nya
demo	demo
berdenyut	ber denyut
keberadaan	keberadaan
bertanah	ber tanah
buruh	buruh
selayaknya	se layak nya
kehendaki	kehendak i
anggapan	anggap an
wisma	wisma
dikerjasamakan	di kerjasama kan
diestimasi	di estimasi
terangmu	terang mu
jubah	jubah
jebakan	jebak an
informasi	informasi
peraga	pen raga
disetor	di setor
sarapan	sarapan
dihabiskan	di habis kan
menebang	men tebang
pengurus	pen urus
naskah	naskah
tepatnya	tepat nya
elpiji	elpiji
anggrek	anggrek
gampang	gampang
tni	tn i
bata	bata
pita	pita
warna	warna
terpandai	ter pandai
majalah	majalah
penitipan	pen titip an
melampirkan	men lampir kan
1950an	1950 an
upahan	upah an
penerimaannya	pen terima an nya
kalangan	kalangan
teluk	teluk
membagikannya	men bagi kan nya
pengikutnya	pen ikut nya
antarvariabel	antar variabel
dibebani	di beban i
krim	krim
pabrik	pabrik
pemetikan	pen petik an
berpribadi	ber pribadi
kasihi	kasih i
gunanya	guna nya
bala	bala
diverifikasinya	di verifikasi nya
seefisien	se efisien
mengkonsumsi	men konsumsi
mengikuti	men ikut i
realokasi	realokasi
pemantapan	pen mantap an
kusut	kusut
tuntutan	tuntut an
dipraktekkan	di praktek kan
tahap	tahap
ciptanya	cipta nya
daerah	daerah
bercerita	ber cerita
ironisnya	ironis nya
pertengahan	per tengah an
sawahnya	sawah nya
skeptis	skeptis
panjang	panjang
abaikan	abai kan
kapten	kapten
berdinding	ber dinding
aspek	aspek
penolakan	pen tolak an
bermekaran	ber mekar an
pemanjaan	pen manja an
terlampau	ter lampau
bulu	bulu
tontonan	tonton an
terkalahkan	terkalahkan
hadir	hadir
tersaji	ter saji
penyebarluasan	pen sebarluas an
sebangsanya	se bangsa nya
terjerat	ter jerat
dihimpun	di himpun
kegemaran	ke gemar an
belakangku	belakang ku
allahnya	allah nya
berkisar	ber kisar
jaraknya	jarak nya
guncangan	guncang an
menentang	men tentang
menoleh	men toleh
diajak	di ajak
bersihkan	bersih kan
menimbang	men timbang
pasif	pasif
dosa	dosa
sosis	sosis
beragama	ber agama
konteksnya	konteks nya
mikro	mikro
melembaga	men lembaga
ulangan	ulang an
konstituen	konstituen
belgia	belgia
anggur	anggur
perekrutan	pen rekrut an
kalimat	kalimat
disambut	di sambut
depannya	depan nya
memungutnya	men pungut nya
rawan	rawan
terbakar	ter bakar
cemas	cemas
bahkan	bah kan
gol	gol
seabad	se abad
gagang	gagang
didiktekan	di dikte kan
mendengarnya	men dengar nya
agresif	agresif
dikonsolidasi	di konsolidasi
registrasi	registrasi
menyiramnya	men siram nya
adikku	adik ku
nontunai	nontunai
disadari	di sadar i
menyayangi	men sayang i
diletakkan	di letak kan
perkotaan	per kota an
radiasi	radiasi
top	top
memasyarakat	men masyarakat
memanen	men panen
galeri	galeri
traktornya	traktor nya
orbit	orbit
memandunya	men pandu nya
dijabarkan	di jabar kan
menjurus	men jurus
stabil	stabil
dipecat	di pecat
memantau	men pantau
menggaji	men gaji
miliknya	milik nya
bertambahnya	ber tambah nya
berkuasa	ber kuasa
doktor	doktor
langka	langka
pembiayaannya	pen biaya an nya
membasahi	men basah i
desa	desa
mewakilkan	men wakil kan
tersihir	ter sihir
membahu	men bahu
merealisasikan	men realisasi kan
bermainnya	ber main nya
disamping	di samping
rekonsiliasi	rekonsiliasi
ratifikasi	ratifikasi
mudah	mudah
ngeri	ngeri
tafsirannya	tafsir an nya
mencintaiku	men cinta i ku
tunduk	tunduk
resep	resep
menyiasati	men siasat i
medali	medali
menghadap	men hadap
digantikan	di ganti kan
pengembaliannya	pen kembali an nya
sekadarnya	se kadar nya
mengupayakan	men upaya kan
penyimpangan	pen simpang an
memverifikasi	men verifikasi
terheran	ter heran
perindustrian	per industri an
komedi	komedi
mengizinkan	men izin kan
niatan	niat an
mengajarkannya	men ajar kan nya
sembunyikan	sembunyi kan
penyejuk	pen sejuk
koordinasi	koordinasi
bergirang	ber girang
membetulkan	men betul kan
terpesona	ter pesona
bintang	bintang
sabet	sabet
waspada	waspada
geluti	gelut i
guru	guru
berkabungnya	berkabung nya
hilangkan	hilang kan
berasal	ber asal
membalas	men balas
diramalkan	di ramal kan
berpelukan	ber peluk an
ui	ui
kebalikan	ke balik an
neraka	neraka
biarkan	biar kan
antarpulau	antar pulau
ratusan	ratus an
dituntaskan	di tuntas kan
dijabat	di jabat
terpilihnya	ter pilih nya
lahiran	lahir an
mengasuh	men asuh
survey	survey
menantang	men tantang
berbasiskan	ber basis kan
mengeluh	men keluh
karyawan	karya wan
kantor	kantor
majikan	majikan
pengukuran	pen ukur an
unggun	unggun
mendesentralisasikannya	men desentralisasi kan nya
pembunuhan	pen bunuh an
dananya	dana nya
pacu	pacu
indikator	indikator
perikanan	per ikan an
harum	harum
bulat	bulat
saran	saran
rokok	rokok
mewujudkan	men wujud kan
dimandatkan	di mandat kan
selandia	selandia
akhirnya	akhir nya
melemparkan	men lempar kan
verifikasinya	verifikasi nya
sirkuit	sirkuit
pertobatannya	per tobat an nya
memanennya	men panen nya
separuhnya	se paruh nya
kolam	kolam
olahannya	olah an nya
tertunda	ter tunda
siswanya	siswa nya
dikawal	di kawal
dipanen	di panen
diseret	di seret
ingatan	ingat an
digigit	di gigit
digeluti	di gelut i
vakum	vakum
memampukan	men mampu kan
katanya	kata nya
dimotori	di motor i
mengutamakan	men utama kan
tes	tes
kurikulum	kurikulum
tragedi	tragedi
diyakini	di yakin i
ditepatinya	di tepat i nya
ikhlas	ikhlas
menjengkelkan	men jengkel kan
kuncinya	kunci nya
jatah	jatah
reaktor	reaktor
siap	siap
pencobaan	pen coba an
terdaftar	ter daftar
baik	baik
menjawabnya	men jawab nya
instalasi	instalasi
memeluk	men peluk
menginjeksi	men injeksi
ditagih	di tagih
tangannya	tangan nya
berpegangan	ber pegang an
berserikat	ber serikat
tuntunan	tuntun an
kebagian	ke bagi an
ketidakefektifan	ke tidak efektif an
pelabuhan	pen labuh an
pemberangkatannya	pen berangkat an nya
ketidakstabilan	ke tidak stabil an
menjajakan	men jaja kan
menggenggam	men genggam
pendukung	pen dukung
tenar	tenar
temanmu	teman mu
pemungutan	pen pungut an
terikat	ter ikat
menegosiasikan	men negosiasi kan
berkarya	ber karya
diputar	di putar
mempersoalkan	men soal kan
1990an	1990 an
penetapan	pen tetap an
pemimpin	pen pimpin
diraihnya	di raih nya
penyeludup	pen seludup
sekelilingnya	se keliling nya
minatnya	minat nya
dijumpainya	di jumpa i nya
taktik	taktik
penyambutan	pen sambut an
camat	camat
tantangan	tantang an
mengalirnya	men alir nya
diteladani	di teladan i
menyuruhnya	men suruh nya
hidung	hidung
berambut	ber rambut
menyebarkan	men sebar kan
karbon	karbon
dimaksudkannya	di maksud kan nya
surga	surga
menyembur	men sembur
ditanam	di tanam
astronom	astronom
tindih	tindih
membendung	men bendung
penggunanya	pen guna nya
dikhianati	di khianat i
dibilang	di bilang
menolaknya	men tolak nya
disepakati	di sepakat i
luka	luka
dilanjutkannya	di lanjut kan nya
pertengkaran	per tengkar an
peranannya	peran an nya
kakeknya	kakek nya
lembah	lembah
permodalan	per modal an
sikapnya	sikap nya
penentuannya	pen tentu an nya
menjulang	men julang
sahnya	sah nya
penyusunan	pen susun an
disegarkan	di segar kan
pewahyuan	pen wahyu an
pedagang	pedagang
semula	se mula
mengaksesnya	men akses nya
cuacanya	cuaca nya
mingguan	minggu an
terinformasi	ter informasi
melawannya	men lawan nya
corak	corak
mendiskriminasi	men diskriminasi
perhutanan	per hutan an
menghimbau	men himbau
kufirmankan	ku firman kan
bebanmu	beban mu
betul	betul
dihubungi	di hubung i
diidentifikasi	di identifikasi
zona	zona
beribadah	ber ibadah
sentral	sentral
madu	madu
kepergianku	ke pergi an ku
populer	populer
mendatang	men datang
alfabet	alfabet
dipasok	di pasok
termuda	ter muda
menghimpunkan	men himpun kan
dihadapinya	di hadap i nya
meninjunya	men tinju nya
menerjang	men terjang
menjerat	men jerat
mempersatukan	men satu kan
penyerangan	pen serang an
sd	sd
kakak	kakak
petunjuknya	petunjuk nya
sewaktu	se waktu
disebarluaskan	di sebarluas kan
jumpa	jumpa
secepatnya	se cepat nya
melanggengkannya	men langgeng kan nya
bolos	bolos
separuh	se paruh
pengrusakan	pen rusak an
mensyukuri	men syukuri
terjal	terjal
stok	stok
berteduh	ber teduh
didefinisikan	di definisi kan
juara	juara
selesaikan	selesai kan
penyebarannya	pen sebar an nya
pengumpulan	pen kumpul an
berlebih	ber lebih
mengkonsultasikan	men konsultasi kan
liberal	liberal
datar	datar
ungkapkan	ungkap kan
antarwarga	antar warga
pipi	pipi
diembannya	di emban nya
mendidik	men didik
didirikannya	di diri kan nya
diadaptasi	di adaptasi
aksesibilitas	aksesibilitas
penulis	pen tulis
meluncur	men luncur
mencerna	men cerna
penggagasnya	pen gagas nya
parfum	parfum
pengamat	pengamat
menabrakkannya	men tabrak kan nya
gerak	gerak
distrik	distrik
pemaksaan	pen paksa an
saldo	saldo
kelas	kelas
dikemukakan	di kemuka kan
tergolong	ter golong
teridentifikasi	ter identifikasi
mimpi	mimpi
bertempur	ber tempur
fluktuasi	fluktuasi
ketidakjujuran	ke tidak jujur an
diagnostik	diagnostik
latar	latar
berlandaskan	ber landas kan
hobi	hobi
tersentuh	ter sentuh
cabai	cabai
berwewenang	ber wewenang
galangan	galang an
naungan	naung an
pra	pra
mengenakan	men kena kan
sejawat	se jawat
perbendaharaan	per bendahara an
habitat	habitat
seru	seru
pengolahannya	pen olah an nya
akunting	akunting
mapannya	mapan nya
berkomitmen	ber komitmen
perusahaannya	per usaha an nya
membingungkan	men bingung kan
manajer	manajer
orang	orang
congkak	congkak
melelehkan	men leleh kan
kaumnya	kaum nya
mengagungkan	men agung kan
defisit	defisit
ditumbuk	di tumbuk
mempersulit	men sulit
cara	cara
kabinet	kabinet
permukaan	per muka an
laju	laju
memungkinkan	memungkinkan
alatnya	alat nya
berlokasi	ber lokasi
ratap	ratap
menyaring	men saring
sukacitaku	sukacita aku
mendengarkan	men dengar kan
penghapusan	pen hapus an
remajanya	remaja nya
selektif	selektif
lawan	lawan
tumpangan	tumpang an
butuhkan	butuh kan
perkasa	perkasa
diminati	di minat i
ragu	ragu
diusung	di usung
diakuinya	di aku i nya
sebaliknya	sebaliknya
karakteristik	karakteristik
serang	serang
menegangkan	men tegang kan
sulit	sulit
utamanya	utama nya
perumpamaan	per umpama an
menyeberang	men seberang
melatarbelakanginya	men latarbelakang i nya
lukisan	lukis an
sertifikasi	sertifikasi
melestarikan	men lestari kan
membuatkan	men buat kan
meratapi	men ratap i
berpenghuni	ber pen huni
diperlukannya	di perlu kan nya
peninjau	pen tinjau
perdamaian	per damai an
sanjungan	sanjung an
targetnya	target nya
pengajarnya	pen ajar nya
dilatarbelakangi	di latarbelakang i
saudaramu	saudara mu
menjanda	men janda
alkitabnya	alkitab nya
perkoperasian	per koperasi an
sampel	sampel
norma	norma
seakurat	se akurat
pengelolanya	pen kelola nya
janin	janin
memamerkan	men pamer kan
jumlahnya	jumlah nya
kamp	kamp
digunakannya	di guna kan nya
menabrak	men tabrak
terpaut	ter paut
menjadwal	men jadwal
berpendapatan	ber pen dapat an
melatihnya	men latih nya
dikompromikan	di kompromi kan
konseling	konseling
perbedaannya	per beda an nya
dicetak	di cetak
mengejarnya	men kejar nya
berbalik	ber balik
lembu	lembu
berita	berita
sibuknya	sibuk nya
sekolah	sekolah
memperkecil	men kecil
ingini	ingin i
memancarkan	men pancar kan
kanwil	kanwil
semaksimal	se maksimal
menyelamatkannya	men selamat kan nya
memburu	men buru
datanya	data nya
globalisasi	globalisasi
produknya	produk nya
pencegah	pen cegah
talenta	talenta
iri	iri
anakku	anak ku
bertahun	ber tahun
mendorong	men dorong
rapuh	rapuh
mamalia	mamalia
menghormati	men hormat i
soalnya	soal nya
literatur	literatur
usah	usah
pengecualiannya	pengecualian nya
direkapitulasi	di rekapitulasi
subjek	subjek
peraturan	per atur an
kesediaan	ke sedia an
balai	bala i
eternitnya	eternit nya
imunisasinya	imunisasi nya
penjembatanan	pen jembatan an
musim	musim
yunani	yunani
arsip	arsip
cita	cita
asli	asli
rusak	rusak
bernomor	ber nomor
bergizi	ber gizi
membaik	men baik
berkualitas	ber kualitas
terpandang	ter pandang
mengungguli	men unggul i
rutinitasnya	rutinitas nya
kamu	kamu
kelapa	kelapa
telak	telak
saudaraku	saudara aku
bertenaga	ber tenaga
kelimpahan	ke limpah an
menginterupsi	men interupsi
kontroversial	kontroversial
pencucian	pen cuci an
penguatan	pen kuat an
pembatas	pen batas
panggilan	panggil an
organ	organ
tanaman	tanam an
pencinta	pen cinta
leluasa	leluasa
bank	bank
pepohonan	pepohonan
insya	insya
merelokasi	men relokasi
filipina	filipina
dipersalahkan	di per salah kan
prasangka	prasangka
kapital	kapital
cabangnya	cabang nya
meletus	men letus
bekerja	bekerja
mengutarakan	men utara kan
ayahnya	ayah nya
mencela	men cela
bising	bising
sambutan	sambut an
kakiku	kaki ku
memperbesar	men besar
menggenangi	men genang i
coba	coba
dikuatkan	di kuat kan
berkoordinasi	ber koordinasi
wadah	wadah
moral	moral
terlewatnya	ter lewat nya
penghormatan	pen hormat an
porsi	porsi
terlintas	ter lintas
bertekun	ber tekun
eceran	ecer an
rekapitulasinya	rekapitulasi nya
tujukan	tuju kan
diagnosanya	nyagnosa nya
pajangan	pajang an
sihir	sihir
lantunan	lantun an
menekan	men tekan
utuh	utuh
evolusi	evolusi
bawaan	bawa an
dikalahkan	di kalah kan
tulangku	tulang ku
melintasinya	men lintas i nya
dilantunkan	di lantun kan
menceritakannya	men cerita kan nya
mencapainya	men capai nya
jarangnya	jarang nya
bergantian	ber ganti an
tempat	tempat
memberitahukan	men beritahu kan
menandakan	men tanda kan
evaluasi	evaluasi
menyerukan	men seru kan
lupa	lupa
timbangannya	timbang an nya
berkeluarga	ber keluarga
perhatian	per hati an
gulungan	gulung an
haluan	halu an
ambilkan	ambil kan
menyalahi	men salah i
meminjamkan	men pinjam kan
pagar	pagar
kinerja	kinerja
acuh	acuh
dilansir	di lansir
berkantor	ber kantor
terungkap	ter ungkap
tekad	tekad
diserahi	di serah i
triwulanannya	triwulan an nya
anggaran	anggar an
relevansinya	relevansi nya
memperindah	men indah
pendaftar	pen daftar
amandemen	amandemen
sahut	sahut
membuktikan	men bukti kan
magnetis	magnetis
turunkan	turun kan
melemah	men lemah
ahlinya	ahli nya
tersisihkan	ter sisih kan
tuannya	tuan nya
bulannya	bulan nya
memfokuskan	men fokus kan
berisiko	ber risiko
kadaluarsa	kadaluarsa
gizi	gizi
pelecehan	pen leceh an
pergantian	per ganti an
mengamatinya	men amati nya
memperpendek	men pendek
besar	besar
pengganti	pen ganti
pernyataan	per nyata an
gabungan	gabung an
gamblang	gamblang
dianiaya	di aniaya
berunding	ber runding
perbaiki	perbaiki
membawahi	men bawah i
stasiun	stasiun
gigi	gigi
karung	karung
terpinggir	ter pinggir
panggung	panggung
didarati	di darat i
manusia	manusia
kualitasnya	kualitas nya
teguran	tegur an
tuaku	tua aku
menaruh	men taruh
mendaftar	men daftar
antarkelompok	antar kelompok
teralih	ter alih
lemparan	lempar an
bapak	bapak
kalkulasi	kalkulasi
penyalahgunaan	pen salahguna an
pelayanan	pen layan an
diatur	di atur
noda	noda
riilnya	riil nya
antarpemangku	antar pen pangku
hambatan	hambat an
akuratnya	akurat nya
masuk	masuk
merawatnya	men rawat nya
melanggankan	men langgan kan
taurat	taurat
sintetis	sintetis
melaju	men laju
pemasaran	pen pasar an
rekanan	rekan an
nasionalnya	nasional nya
menunggu	men tunggu
matiku	mati ku
mengumpulkannya	men kumpul kan nya
semangatnya	semangat nya
perairan	per air an
menyeberanginya	men seberang i nya
pelimpahan	pen limpah an
kinerjanya	kinerja nya
datang	datang
janji	janji
ganda	ganda
merumuskan	men rumus kan
puncaknya	puncak nya
parkir	parkir
sindikat	sindikat
pandangnya	pandang nya
keseharian	keseharian
melipatgandakan	men lipatganda kan
sekecil	se kecil
mutasi	mutasi
petinju	pen tinju
kandas	kandas
mengejutkannya	men kejut kan nya
pelaksanaannya	pen laksana an nya
mengangkat	men angkat
mengosongkan	men kosong kan
lerengan	lereng an
menciptakan	men cipta kan
muridnya	murid nya
harmonis	harmonis
responden	responden
antarresponden	antar responden
turunan	turun an
pemisah	pen pisah
perguliran	per gulir an
suksesi	sukses i
korupsinya	korupsi nya
hulu	hulu
mendoakan	men doa kan
bergengsi	ber gengsi
pewaris	pen waris
pembahasannya	pen bahas an nya
fungsi	fungsi
dibakukan	di baku kan
busuknya	busuk nya
rehabilitasi	rehabilitasi
jemu	jemu
berdialog	ber dialog
pengungkapan	pen ungkap an
berdusta	ber dusta
diratifikasi	di ratifikasi
tradisi	tradisi
tunggal	tunggal
mengalahkan	men kalah kan
tergabung	ter gabung
memperjelas	men jelas
antarpemilik	antar pen milik
antarsektor	antar sektor
mencuat	men cuat
disingkat	di singkat
pengatur	pen atur
koleksi	koleksi
beranggotakan	ber anggota kan
lunak	lunak
nonrumah	non rumah
ketidakwaspadaan	ke tidak waspada an
raksasa	raksasa
awan	awan
didaftarkan	di daftar kan
lensa	lensa
meratapinya	men ratap i nya
independensi	independensi
ternama	ter nama
memasukinya	men masuk i nya
dikoordinasi	di koordinasi
intelektual	intelektual
digelar	di gelar
menyangkali	men sangkal i
langkah	langkah
melukiskan	men lukis kan
diyakinkan	di yakin kan
dahsyat	dahsyat
emas	emas
konstruksi	konstruksi
bait	bait
ketidaksetaraan	ke tidak setara an
penghancur	pen hancur
bergiliran	ber gilir an
pelaksana	pen laksana
propinsi	propinsi
penolong	pen tolong
sekarat	se karat
antarkabupaten	antar kabupaten
konsultan	konsultan
ratapan	ratap an
lewat	lewat
gagasan	gagas an
tenaga	tenaga
proporsi	proporsi
tariknya	tarik nya
tanggap	tanggap
ditembak	di tembak
menggadai	men gadai
menunggunya	men tunggu nya
masehi	masehi
pembersihan	pen bersih an
memicu	men picu
senapan	senapan
wajib	wajib
bangsawan	bangsa wan
perilaku	perilaku
diurus	di urus
pengeras	pen keras
natalnya	natal nya
semusim	se musim
korup	korup
andalan	andal an
raja	raja
dipakai	di pakai
menjadikan	men jadi kan
butir	butir
kendaraan	kendara an
pemasoknya	pen pasok nya
lurus	lurus
penarik	pen tarik
sanksi	sanksi
tawa	tawa
menyibak	men sibak
nun	nun
setara	setara
ketidakbahagiaan	ke tidak bahagia an
berkeramik	ber keramik
warisannya	waris an nya
turnamen	turnamen
terkuno	ter kuno
riil	riil
terbangnya	terbang nya
disamai	di sama i
punah	punah
pengaman	pen aman
kompas	kompas
layar	layar
ditiadakan	di tiada kan
mengaliri	men alir i
sikap	sikap
buang	buang
panitia	panitia
memotret	men potret
mendalami	men dalam i
aib	aib
panggil	panggil
koper	koper
berdagang	ber dagang
ditempelkan	di tempel kan
adanya	ada nya
melaporkan	men lapor kan
struktural	struktural
mengoyakkan	men koyak kan
unit	unit
saringan	saring an
pengganggu	pen ganggu
